facility_id,prison_name,state,ac_status,ac_status_details,address,building_completion_year,notes
10002400,Bridgeport Correctional Center,CT,Yes,Partial,"1106 North Avenue Bridgeport, CT 06604",1958,"1958 listed as the open date, assume it is the building completion date"
10002399,Brooklyn Correctional Institution,CT,Yes,Full,"59 Hartford Road Brooklyn, CT 06234",1820,"Additions added in 1842, 1863, 1990"
10000937,Cheshire Correctional Institution,CT,Yes,Full,"900 Highland Avenue Cheshire, CT 06410",1913,Addition in 1956
10000931,Corrigan Correctional Center,CT,Yes,Full,"986 Norwich-New London Turnpike Uncasville, CT 06382",1957,"Merged with buildings opened in 1994, 1991"
10006149,Cybulski Community Reintegration Center,CT,Yes,Full,"264 Bilton Road Somers, CT 06071",1990,Merged with a building opened in 1993
10000934,Garner Correctional Institution,CT,Yes,Full,"50 Nunnawauk Road, Newtown, CT 06470",1992,
10000926,Hartford Correctional Center,CT,Yes,Partial,"177 Weston Street Hartford, CT 06120",1977,"Additions added in 1990, 1991"
10000927,MacDougall-Walker Correctional Institution,CT,Yes,Full,"1153 East Street, South Suffield, CT 06080",1992,"Additions added in 1996, 2003"
10005380,New Haven Correctional Center,CT,Yes,Full,"245 Whalley Avenue New Haven, CT 06511",1976,"Additions added in 1991, 1993, 1997"
10000928,Osborn Correctional Institution,CT,No,None,"335 Bilton Road, POB 100 Somers, CT 06071",1963,
10001605,Robinson Correctional Institution,CT,Yes,Full,"285 Shaker Road, POB 1400 Enfield, CT 06082",1985,
10000933,York Correctional Institution,CT,Yes,Full,"201 West Main Street Niantic, CT 06357",1918,"Additions added in 1930, 1988"
10006153,Augusta State Med. Prison,GA,Yes,Partial,"3001 Gordon Hwy, Grovetown, GA 30813",1982,
10000325,Autry State Prison,GA,Yes,Partial,"3178 Mount Zion Church Road, Pelham, GA 31779",1992,
10002129,Baldwin State Prison,GA,Yes,Full,"140 Laying Farm Road, Hardwick, GA 31034",1976,
10001421,Burruss Correctional Training Ctr,GA,Yes,Full,"1000 Indian Springs Drive, Forsyth, GA 31029",1986,
10002146,Calhoun State Prison,GA,Yes,Partial,"27823 Main Street, Morgan, GA 39866",1993,
10002134,Central State Prison,GA,Yes,Full,"4600 Fulton Mill Road, Macon, GA 31208",1978,
10000314,Coastal State Prison,GA,Yes,Full,"200 Gulf Stream Road, Garden City, GA 31418",1981,
10002138,Dodge State Prison,GA,Yes,Partial,"2971 Old Bethel Church Road, Chester, GA 31012",1982,
10006154,Dooly State Prison,GA,Yes,Partial,"1412 Plunkett Road, Unadilla, GA 31091",1993,
10004496,Emanuel Womens Facility,GA,Yes,Full,"714 Gumlog Road, Swainsboro, GA 30401",1995,
10000298,GA Diagnostic Class Prison,GA,Yes,Partial,"2978 Hwy 36 West Prison Blvd, Jackson, GA 30233",1968,
10000298,Hancock State Prison,GA,Yes,Partial,"701 Prison Blvd, Sparta, GA 31087",1990,
10000284,Hays State Prison,GA,Yes,Partial,"777 Underwood Drive, Trion, GA 30753",1989,
10001415,Helms Facility,GA,Yes,Full,"1275 Constitution Rd Se, Atlanta, GA 30316",1990,Renovated 2005 and 2011
10000303,Johnson State Prison,GA,Yes,Partial,"290 Donovan- Harrison Road, Wrightsville, GA 31096",1991,
10002102,Lee Arrendale State Prison,GA,Yes,Partial,"2023 Gainesville Hwy, Alto, GA 30510",1926,
10000323,Lee State Prison,GA,Yes,Partial,"153 Pinewood Drive, Leesburg, GA 31763",1978,
10005199,Long Unit,GA,Yes,Full,"1434 Us Hwy 84 East, Ludowici, GA 31316",2004,
10002137,Macon State Prison,GA,Yes,Partial,"2728 Hwy 49 South, Oglethorpe, GA 31068",1993,
10000292,Metro Reentry Facility,GA,Yes,Full,"1301 Constitution Road Se, Atlanta, GA 30316",1980,Renovated 2017
10000308,Montgomery State Prison,GA,Yes,Full,"650 Mt. Vernon/ Alston Rd, Mt. Vernon, GA 30445",1972,
10002106,Phillips State Prison,GA,No,None,"2989 West Rock Quarry Road, Buford, GA 30519",1988,Only medical unit has AC
10000307,Pulaski State Prison,GA,Yes,Partial,"373 Upper River Road, Hawkinsville, GA 31036",1994,
10000310,Rogers State Prison,GA,Yes,Partial,"1978 Georgia Highway 147, Reidsville, GA 30453",1983,
10000304,Rutledge State Prison,GA,Yes,Partial,"7175 Manor Road, Columbus, GA 31907",1976,
10000309,Smith State Prison,GA,Yes,Partial,"9676 Hwy 301 North, Glennville, GA 30427",1993,
10000316,Telfair State Prison,GA,Yes,Partial,"170 Longbridge Road, Helena, GA 31037",1991,
10000328,Valdosta State Prison,GA,No,None,"3259 Valtech Road, Valdosta, GA 31601",1956,Renovated in 1989
10000283,Walker State Prison,GA,Yes,Full,"97 Kevin Lane, Rock Spring, GA 30739",1972,
10002147,Ware State Prison,GA,Yes,Partial,"3620 Harris Road, Waycross, GA 31503",1989,
10002126,Washington State Prison,GA,No,None,"13262 Highway 24 East, Davisboro, GA 31018",1991,
10004453,Whitworth Women's Facility,GA,Yes,Full,"414 Valley Hart Road, Hartwell, GA 30643",1991,
10000318,Wilcox State Prison,GA,Yes,Partial,"470 South Broad Street, Abbeville, GA 31001",1993,
10001082,Anamosa State Penitentiary,IA,Yes,Partial,"406 North High Street, Anamosa, IA 52205",1899,
10001099,Clarinda Correctional Facility,IA,Yes,Full,"2000 North 16th Street, Clarina, IA 51632",1980,
10001100,Iowa State Penitentiary,IA,Yes,Full,"2111 330th Avenue, PO Box 316, Fort Madison, IA 52627",2014,
10001077,Fort Dodge Correctional Facility,IA,Yes,Full,"1550 L Street, Fort Dodge, IA 50501",1996,
10001087,Iowa Correctional Institution for Women,IA,Yes,Full,"420 Mill Street SW, Mitchelville, IA 50169",,
10001096,Mt. Pleasant Correctional Facility,IA,No,None,"1200 East Washington Street, Mt. Pleasant, IA 52641",1976,
10001090,Newton Correctional Facility,IA,Yes,Full,"Box 218, 307 S. 60th Avenue W., Newton, IA 50208",,
10001091,Iowa Medical and Classification Center,IA,Yes,Full,"2700 Coral Ridge Avenue, Coralville, IA 52241",1969,
10001080,North Central Correctional Facility,IA,Yes,Full,"313 Lanedale, Rockwell City, IA 50579-7464",1982,
10001040,Ellsworth Correctional Facility,KS,Yes,Partial,"1607 State Street, Ellsworth, KS 67439",1989,East Unit has an unknown building completion date.
10001045,El Dorado Correctional Facility,KS,Yes,Full,"1734 SE US Highway 54, El Dorado, KS 67042",1990,SE Unit completed in 1990. Central unit completed in 1991.
10001043,Hutchinson Correctional Facility,KS,No,None,"500 South Reformatory Road, Hutchinson, KS 67504",1890,"Central unit completed in 1890, East Unit in 1988/1951, and South Unit in 1985"
10001031,Lansing Correctional Facility,KS,Yes,Full,"301 East Kansas, Lansing, KS 66043",1990,"X Dorm opened in 1990, E Dorm and Central Unit in 2020"
10001830,Larned State Correctional Facility,KS,Yes,Full,"1318 Kansas Highway 264, Larned, KS 67550",1991,"Central Unit opened in 1991, South Unit in 2001, and West Unit is unknown"
