,FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area,geometry
58,59,10002616,UTAH COUNTY JAIL,3075 N MAIN ST,SPANISH FORK,UT,84660,-999,(801) 851-4210,FEDERAL,OPEN,689.0,UTAH,49049,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ice.gov/detention-facility/utah-county-jail,2018-05-03 00:00:00+00:00,IMAGERY/OTHER,2020-02-20 00:00:00+00:00,https://www.ice.gov/detention-facility/utah-county-jail,MAXIMUM,1019.0,0.0101826757674,{FE052DCD-BEF3-4EEF-9341-BA8A46EF7E11},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.010182675767366249,2.21542108859e-06,POINT (-111.65973507131567 40.148890214950505)
92,93,10003464,"UTAH STATE PRISON, DRAPER - NORTH COMPLEX",WEST 13800 SOUTH,DRAPER,UT,84020,-999,(801) 576-7000,STATE,OPEN,994.0,SALT LAKE,49035,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.utah.gov/index.php/family-friends/prison-facilities/utah-state-prison,2020-02-20 00:00:00+00:00,IMAGERY/OTHER,2020-02-20 00:00:00+00:00,https://corrections.utah.gov/index.php/family-friends/prison-facilities/utah-state-prison,MAXIMUM,2000.0,0.0283235852297,{36EC7251-239F-4989-856B-06F0E94A18ED},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.028323585229681605,2.03282838195e-05,POINT (-111.89524739467049 40.49791207798712)
93,94,10003465,"UTAH STATE PRISON, DRAPER - SOUTH COMPLEX",14425 BITTERBRUSH LANE,DRAPER,UT,84020,-999,(801) 576-7000,STATE,OPEN,1839.0,SALT LAKE,49035,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.utah.gov/index.php/family-friends/prison-facilities/utah-state-prison,2018-01-17 00:00:00+00:00,IMAGERY/OTHER,2020-02-20 00:00:00+00:00,https://corrections.utah.gov/index.php/family-friends/prison-facilities/utah-state-prison,MAXIMUM,2450.0,0.0354241766791,{A7B761DC-91BE-4525-9526-98B0A1897D54},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.035424176679066006,2.43933657921e-05,POINT (-111.90171786891267 40.49078113742712)
96,97,10002617,CENTRAL UTAH CORRECTIONAL FACILITY,255 E 300 N ST,GUNNISON,UT,84634,-999,(435) 528-6000,STATE,OPEN,1700.0,SANPETE,49039,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.utah.gov/index.php/family-friends/prison-facilities/central-utah-correctional-facility,2018-01-17 00:00:00+00:00,IMAGERY/OTHER,2020-02-20 00:00:00+00:00,https://corrections.utah.gov/index.php/family-friends/prison-facilities/central-utah-correctional-facility,MAXIMUM,1600.0,0.025579986517,{E03B8901-8580-4C9B-9EE9-1248812F8999},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.025579986516976492,2.76898990689e-05,POINT (-111.81149801288525 39.16624296511679)
133,134,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,313 LANEDALE,ROCKWELL CITY,IA,50579,-999,(712) 297-7521,STATE,OPEN,485.0,CALHOUN,19025,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.iowa.gov/about-us/about-institutions/north-central-correctional-facility,2017-11-27 00:00:00+00:00,IMAGERY/OTHER,2019-12-11 00:00:00+00:00,https://doc.iowa.gov/about-us/about-institutions,MINIMUM,245.0,0.0132323320574,{933D66AA-9C35-4179-A342-9FA1DFA629AE},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.013232332057423432,8.69707062571e-06,POINT (-94.60437667318426 42.39222762330162)
134,135,10001082,ANAMOSA STATE PENITENTIARY,406 N HIGH ST,ANAMOSA,IA,52205,-999,(319) 462-3504,STATE,OPEN,927.0,JONES,19105,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.iowa.gov/about-us/about-institutions/anamosa-state-penitentiary,2017-11-27 00:00:00+00:00,IMAGERY/OTHER,2019-12-11 00:00:00+00:00,https://doc.iowa.gov/about-us/about-institutions,MAXIMUM,911.0,0.00998445967941,{5E4F4E61-EA10-4855-9706-F0E6C035EFD4},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.009984459679412878,6.11585732546e-06,POINT (-91.29127202599707 42.11129071014817)
135,136,10001091,IOWA MEDICAL & CLASSIFICATION CENTER,2700 CORAL RIDGE AVE,CORALVILLE,IA,52241,-999,(319) 626-2391,STATE,OPEN,894.0,JOHNSON,19103,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.iowa.gov/about-us/about-institutions/iowa-medical-and-classification-center,2017-11-27 00:00:00+00:00,IMAGERY/OTHER,2019-12-11 00:00:00+00:00,http://oakdaleprison.com/,MEDIUM,585.0,0.0128418158655,{04E9E7B0-D34D-4C8C-9857-01FDA40D2F29},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.012841815865508529,9.91065133521e-06,POINT (-91.6118258527275 41.713695971158046)
138,139,10001090,NEWTON CORRECTIONAL FACILITY,307 SOUTH 60TH AVENUE WEST,NEWTON,IA,50208,-999,(641) 792-7552,STATE,OPEN,1292.0,JASPER,19099,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.iowa.gov/about-us/about-institutions/newton-correctional-facility,2017-11-27 00:00:00+00:00,IMAGERY/OTHER,2019-12-11 00:00:00+00:00,https://doc.iowa.gov/about-us/about-institutions,MEDIUM,1014.0,0.0173397491129,{C624D368-E46C-4503-83CC-62C025CB43C1},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.0173397491129077,1.25202920447e-05,POINT (-93.05696851470209 41.62717022022538)
191,192,10004024,FCI CUMBERLAND,14601 BURBRIDGE RD SE,CUMBERLAND,MD,21502,-999,(301) 784-1000,FEDERAL,OPEN,1011.0,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/cum/,2016-02-16 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,https://www.bop.gov/locations/,MEDIUM,768.0,0.0162582928092,{FE6F8C2D-E906-458E-8047-986870514BFF},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.016258292809185174,1.75687304116e-05,POINT (-78.7623558612736 39.59548460377918)
198,199,10001936,BUTTE PRE-RELEASE / WOMEN'S TRANSITIONAL CENTER,62 W BROADWAY ST,BUTTE,MT,59701,-999,(406) 496-5070,STATE,OPEN,204.0,SILVER BOW,30093,USA,922140,CORRECTIONAL INSTITUTIONS,https://cor.mt.gov/FamilyFriends/Visiting/VisitingButtePrerelease,2017-12-08 00:00:00+00:00,IMAGERY/OTHER,2020-01-31 00:00:00+00:00,http://www.cccscorp.com/programs/,MINIMUM,220.0,0.00156501255906,{F868CD52-1B89-4B2F-AFD2-44358425DC97},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.0015650125590563199,1.40056694126e-07,POINT (-112.53764113187351 46.01333553125779)
