FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,SECURELVL
"10002301",CENTRAL RECEPTION AND ASSIGNMENT FACILITY,2401 STUYVESANT AVENUE,TRENTON,NJ,"8628","-999",STATE,OPEN,"578",MERCER,USA,MAXIMUM
"10000429",LANCASTER WORK CAMP,3449 SW STATE RD 26,TRENTON,FL,"32693","5641",STATE,OPEN,"279",GILCHRIST,USA,NOT AVAILABLE
"10001448",BRIDGES OF SANTA FE,2901 NE 39TH AVE,GAINESVILLE,FL,"32602","1202",STATE,OPEN,"150",ALACHUA,USA,MINIMUM
"10000509",MARTIN WORK CAMP,100 SW ALLAPATTAH ROAD,INDIANTOWN,FL,"34956","4310",STATE,OPEN,"259",MARTIN,USA,NOT AVAILABLE
"10004598",BRIDGES OF ORLANDO,2011 MERCY DRIVE,ORLANDO,FL,"32808","5613",STATE,OPEN,"147",ORANGE,USA,MINIMUM
"10004627",FORT PIERCE COMMUNITY RELEASE CENTER,1203 BELL AVENUE,FORT PIERCE,FL,"34982","6599",STATE,OPEN,"83",ST. LUCIE,USA,MINIMUM
"10000335",JACKSON WORK CAMP,5607 10TH ST,MALONE,FL,"32445","9998",STATE,OPEN,"273",JACKSON,USA,NOT AVAILABLE
"10000426",GAINESVILLE WORK CAMP,700 NE 55TH BLVD,GAINESVILLE,FL,"32641","6067",STATE,OPEN,"270",ALACHUA,USA,NOT AVAILABLE
"10000980",NORTH CENTRAL CORRECTIONAL COMPLEX,670 MARION-WILLIAMSPORT RD,MARION,OH,"43302","-999",STATE,OPEN,"2290",MARION,USA,MEDIUM
"10002152",CENTURY WORK CAMP,400 TEDDER RD,CENTURY,FL,"32535","3659",STATE,OPEN,"222",ESCAMBIA,USA,NOT AVAILABLE
"10000025",LAKIN CORRECTIONAL CENTER,11264 OHIO RIVER ROAD,WEST COLUMBIA,WV,"25287","-999",STATE,OPEN,"452",MASON,USA,MAXIMUM
"10004586",RE-ENTRY CENTER OF OCALA,2006 NORTHEAST 8TH RD,OCALA,FL,"34470","4231",STATE,OPEN,"98",MARION,USA,MINIMUM
"10000507",ARCADIA ROAD PRISON,2961 NW COUNTY RD 661,ARCADIA,FL,"34266","8203",STATE,OPEN,"95",DESOTO,USA,MEDIUM
"10000405",SUWANNEE WORK CAMP,5964 US HWY 90,LIVE OAK,FL,"32060","-999",STATE,OPEN,"278",SUWANNEE,USA,NOT AVAILABLE
"10000474",POLK WORK CAMP,10800 EVANS RD,POLK CITY,FL,"33868","6925",STATE,OPEN,"279",POLK,USA,NOT AVAILABLE
