,FACILITYID,NAME,STATE,YEAR,SUMMER_TEMP_MEAN,SUMMER_TMAX_MEAN,SUMMER_90TH_PERCENT,COUNT_DAYS_ABOVE_10F,HEATWAVES_1_DAY,HEATWAVES_2_DAY,HEATWAVES_3_DAY
0,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2000,70.88890217391304,81.55184782608696,88.43180000000001,0,4,3,0
1,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2001,71.92145652173915,82.8200652173913,90.4784,5,2,1,2
2,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2002,73.04997826086957,84.16478260869566,91.37480000000001,2,5,1,1
3,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2003,71.18081521739131,82.26754347826088,91.049,2,4,0,2
4,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2004,67.80160869565218,78.35234782608696,85.5572,2,3,2,1
5,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2005,72.4638043478261,83.25108695652175,90.2444,2,3,2,1
6,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2006,72.62150000000001,83.56119565217392,91.1714,3,4,0,2
7,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2007,72.88416304347825,83.7018695652174,89.6756,0,5,1,1
8,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2008,70.51266304347826,81.32176086956521,86.576,0,4,3,0
9,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2009,67.91635869565216,78.2167608695652,85.28,3,3,2,1
10,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2010,72.69066304347827,82.53539130434783,88.9178,0,6,2,0
11,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2011,72.5006847826087,82.32721739130434,92.4602,5,3,2,1
12,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2012,73.75960869565218,85.97182608695651,95.13500000000002,4,7,0,1
13,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2013,71.01431521739131,81.69369565217393,91.2236,5,1,0,3
14,10001080,NORTH CENTRAL CORRECTIONAL FACILITY,IA,2014,69.18095652173915,78.46347826086956,84.53840000000001,0,6,2,0
