"","FACILITYID","STATE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Missing_LST"
"1",10000262,"MN",31.91451452,36.85070507,11.17624784,36.98229884,29.39087642,35.6595251,39.312533975,39.11514332,39.48884684,40.24935629,38.80068548,41.58371332,41.0072615342857,41.53168346,37.94276246,42.87382598,44.210556635,41.53548126,39.36124076,39.370640315,37.92909038,43.21562798,47.49612836,43.69870814,42.0360855542857,39.27579026,40.73984216,41.2387103171429,39.604774685,41.4545338657143,40.61451476,41.42154726,40.61527432,40.002404345,0
"2",10000263,"MN",34.55550464,38.01624989,33.6428933,36.5106120800001,28.09373783,35.2322726,38.34950684,36.45250574,NA,40.72332173,33.84968351,37.6834812285714,38.499045215,39.4535273,34.88306489,39.987592925,27.87327554,39.562220336,37.23295364,32.35771778,32.01591578,41.17848806,43.10397266,37.6761569,37.63684967,36.79430774,36.17564612,37.69780436,37.91029127,34.903459076,35.633035445,37.9002271,34.38802166,34.8746622575,1
"3",10000264,"MI",NA,32.35088174,4.75037024000001,NA,28.7038544,40.68743252,32.3901889700001,NA,35.10580586,38.1649337600001,44.6489177,41.50775732,39.7803754625,39.85172663,33.999734588,43.17005438,43.44862301,39.8465996,38.436324548,35.47950938,39.26382719,41.207826065,43.32443495,41.84272328,35.9215733,33.006287075,36.53795624,37.07629439,36.03208928,38.167668176,36.72822602,38.285248064,33.762524,33.8108035325,3
"4",10000267,"MI",37.00793399,35.11947794,9.57319646000002,34.44498866,44.56004918,37.1497818200001,37.57475564,40.992490805,41.37787256,38.43153932,38.7929949350001,44.110921352,43.27829168,41.4794365828572,42.37365572,44.849726375,42.11160752,41.43711824,43.74997844,37.06774934,43.282564205,44.806830224,45.43620164,41.4188888,42.53202398,44.17723094,43.58078645,36.795162245,45.1445306,43.71978593,43.109954195,40.84807946,39.0147389825,41.743942502,0
"5",10000269,"MI",33.4549022,36.3943994,30.11321798,38.19911396,37.54627214,39.20401184,34.51107038,34.75716782,39.47403542,38.83999271,39.42960116,37.001952455,43.48793024,37.95985256,36.07766288,42.104543612,39.9320501,39.630125,38.7585299,38.27203172,48.6480011,45.752083655,49.1094338,42.02159966,39.17666768,46.238297,47.331208895,41.69916644,48.25378946,44.1703949,45.123338876,43.115593928,40.18954094,36.624090344,0
"6",10000272,"MI",41.59149881,34.894743125,35.5057142000001,38.49306368,34.86084776,35.24081765,35.89195046,39.55264988,39.46378136,40.19181962,36.838742,38.72321036,39.47745344,37.99631144,38.61953042,43.62806906,42.5297453,39.594520625,39.26895422,39.5104943,38.78929208,36.85070507,45.00439178,36.58694786,35.129732,37.08256076,44.0046209300001,39.59480546,49.54352234,37.458087224,46.30153037,37.01249135,36.31920296,33.67536449,0
"7",10000273,"MI",42.20332439,35.61167282,37.73426324,39.89103386,34.9360442,35.4681159800001,36.59606258,41.76410882,43.8080847800001,40.06022585,36.4456697000001,39.035161652,40.437233456,39.08609015,38.59218626,43.71693758,42.91598156,40.27556111,39.90470594,41.20184453,38.9579144,35.73130352,46.35109166,38.30336357,34.26326393,36.92191382,44.71386008,42.38960648,45.12402248,38.432906528,43.04700566,37.90174622,36.22235906,33.64403264,0
"8",10000274,"MI",33.876173165,36.81823388,30.58490474,24.40056722,36.24742454,37.4255021,34.58170946,37.1463638000001,38.88784499,39.7479042725,39.99243512,45.4257848171429,45.39746408,45.14529016,41.59833485,45.1962281525,45.793270796,43.87644518,42.26940611,50.06989742,46.70371739,48.58362839,54.461198615,45.73243004,41.300625308,49.46661689,50.7437356485714,45.61621736,50.9786024514286,47.807851784,48.9064888625,46.258121516,44.33104184,41.011859585,0
"9",10000275,"MI",33.07037495,37.92567236,35.60654579,NA,42.39986054,37.62830462,40.06022585,38.62294844,43.58249546,42.686119715,38.3597609,39.48315014,45.159569888,42.75020759,36.53966525,44.4210497,40.81731728,42.90743651,41.513738855,47.95243403,45.875303276,45.73015136,51.75327227,42.45113084,41.25026648,45.30005051,49.86310721,43.63205675,50.13825782,49.94001266,48.10567526,42.117532088,41.08734086,37.9154183,1
"10",10000277,"MI",31.447669955,34.16926838,15.449627345,31.8883097,36.43028861,33.99437969,35.749248125,35.22771524,38.133317075,35.61167282,33.889674344,36.6705265871429,41.5385195,37.747080815,28.73461658,39.09976223,38.42983031,37.59184574,39.18407339,38.62636646,39.296981984,38.36488793,45.1445306,35.58660734,35.53932473,37.0267331,46.50148454,40.05452915,45.02603924,40.486623845,42.0722189085715,41.27874998,40.4805108476923,37.8460813228572,0
"11",10000278,"MI",30.172748495,32.7522549457143,15.818602604,29.818983425,30.38779892,31.72139639,35.2037891,36.1380479,37.55994422,35.8710150875,35.127168485,38.31682202375,42.58405384,40.1088105628572,32.7542081,42.49328642,41.73106796,38.8675810142857,41.4801024309091,39.6444481314286,41.73049829,41.067174542,45.84294602,37.2416411075,37.81401704,38.77675934,44.91210524,40.420143356,42.68697422,37.8812381,41.56985135,37.44031352,36.7109606369231,34.55550464,0
"12",10000633,"IL",36.75670952,27.13498322,39.264681695,NA,37.02502409,38.93569727,32.840513105,38.93398826,31.51517585,43.46286476,42.983487455,43.89353528,52.77696926,43.14840692,48.09257285,45.4863326,45.8462012771429,48.58818575,47.70120956,46.57326296,49.255554155,51.46957661,48.31987118,51.87632099,46.982570855,42.255449195,50.222853815,48.17859302,49.178648705,47.59525094,49.025350508,48.60698486,46.29298532,47.876212184,1
"13",10000635,"IL",39.40054799,39.913592792,18.26351231,38.24525723,37.49614118,40.10181176,38.26405634,42.54227804,41.76410882,42.657579248,39.56233427,41.2138076,42.0346206885715,39.83634554,41.108532584,41.60346188,42.30700433,40.1221774625,41.5985789942857,36.79772576,42.249809462,41.68036733,41.70144512,41.349673895,38.13815927,44.8950151400001,41.36363081,40.1649027125,40.82415332,40.98480026,41.9086422371429,39.82153412,39.554017088,38.03049164,0
"14",10000636,"IL",38.418721745,38.923050596,20.1645011,35.60141876,35.64357434,38.95107836,36.91393844,40.61907212,38.72719805,40.262914436,38.179973048,39.341587145,40.1351781457143,38.2147391942857,38.880154445,39.45466664,38.8382837,39.05532797,38.6795899142857,33.956496635,39.264681695,39.442418735,41.10101294,40.980015032,36.5848319428572,38.8263206300001,38.89411136,40.39177379,38.7162115571429,39.16812263,39.87166508,37.91200028,36.964866938,35.6909087381818,0
"15",10000638,"IL",29.96966114,26.98459034,10.406054,28.36888844,30.08986151,29.08838165,29.48658098,28.84741124,32.395316,38.88100895,34.16755937,42.18452528,35.88340541,32.78383094,34.09236293,35.98252799,36.0911721971429,37.87895942,36.66613199,31.68550718,36.219396776,42.07742732,42.17882858,36.68720978,37.44202253,39.63810038,38.47255556,34.35213245,42.65849072,39.915814505,41.829905705,37.42835045,37.32580985,38.2337214125,0
