"","FACILITYID","STATE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Missing_LST"
"1",10000262,"MN",28.4668469025573,32.068578327797,6.52564624106277,32.3299463827296,25.4834202002059,32.108196886101,33.6066762264792,32.3353956060737,33.7691851582019,34.4353114391962,32.5727095503062,35.6667621474037,35.2841330340509,35.678111155873,32.2304203391612,36.7996080759278,35.6895754536649,36.6868768523533,33.3157564537934,33.2223237772852,32.9790369553655,36.0107256497587,36.8638554652278,36.7546952500185,35.0736193657586,33.446053490102,33.4815644716581,35.3090096889678,34.8377907088054,34.499135640726,35.0961687559164,36.0423353251066,34.8610809436696,35.1104384224608,0
"2",10000263,"MN",28.9934119983284,33.3168764751264,30.9997752116244,33.4700278927243,25.7618636279614,32.7496509483296,35.5286370206635,29.5729455337028,NA,37.1674634943751,31.6978120892017,35.4710888278016,36.2127540361581,35.5254400389208,31.6727654617068,37.4526761625572,21.2633171029069,37.1683279032181,35.3101701068865,27.2870898011374,29.6622177445877,36.989344535524,37.1661924900335,35.8999126631494,35.2605238607974,34.3255697940569,32.8183933951547,31.9393784261785,35.5382240723526,31.3964287925063,32.7363270864853,35.2783628350032,31.7699085296164,32.6302859273711,1
"3",10000264,"MI",NA,29.0322946774535,3.03621076276282,NA,26.1092691827696,37.3948736090419,29.8791589343837,NA,32.2979698545767,31.5979489323046,40.5146461178055,36.2757180579277,36.5763155898335,36.6454917139626,30.7090083466435,39.2350147891767,39.6831937951101,36.5603298412419,35.1234124858437,32.2189208867761,35.9911538703099,37.8742802621013,39.6164816741927,38.5576774998444,33.0887842441147,30.1036424333202,34.2855115129274,34.3826987368833,32.5215325619506,35.7959389013457,33.0622250275388,35.0992981447135,30.770376142228,31.2741937675507,3
"4",10000267,"MI",35.095235145323,32.0203259433026,8.30309760007504,32.0797581390757,40.4756719015591,35.1090295245339,34.6438413703628,37.7018093791676,37.8154098519205,35.15152547299,34.8245938922796,40.1087554639686,40.3716041121316,38.5306606889705,38.216200574598,40.056556896934,38.5064023949004,37.9338615137827,39.2604488422927,34.5312859786548,39.2563684706259,39.6226749664434,39.8018022674483,38.2040103996451,38.326182896111,37.8409485564665,40.488761608176,33.6544005392345,41.5051833583937,38.9536487811911,39.440876572928,36.416839461578,35.2424059572805,37.7893448946322,0
"5",10000269,"MI",29.8477662142136,32.4340868433974,25.2579033999934,34.1995389254786,32.1102797587179,36.5092381712949,31.6152242675722,31.3264981478527,35.980783209153,35.1491430849884,33.0379596813907,32.5022748719404,39.8552180187589,34.6852592249348,31.5848191503327,36.9731909946065,33.2617795720453,33.3306031806669,32.8462592935083,32.3535335374504,39.7638913701774,37.6462428853053,40.4585281560137,32.088738312502,31.4972663077677,35.7439327862549,39.2925603118113,33.2031621235079,38.4952054842297,35.4087628113563,37.6568943825291,36.5268421739941,33.9954681926819,30.0754169498321,0
"6",10000272,"MI",39.0578948399024,32.5616896019316,32.4487910963314,34.1326005767735,31.8744744807656,32.7921102229761,33.1453282164427,37.0458696335682,37.1768464711444,35.9207499557879,34.4876148361324,35.2745123198136,36.743348780624,34.439584357746,32.8458572133306,40.9261928170013,39.856217564829,37.2931711470723,36.9856079109679,36.607341970183,36.7178052573665,34.0698523882016,40.2196071957372,33.9659971545541,32.5357428582683,34.6384400625873,40.7275139363633,37.2889169366169,40.7290836894846,34.7976023313058,39.0049897310547,34.4735607900755,33.4864917008139,29.427991205206,0
"7",10000273,"MI",39.3420354085719,32.7105569976816,32.8815555190271,30.6462199404418,31.8357362003265,32.463728173252,33.4761124408411,37.258129317786,37.1350641543384,35.0085566355182,33.4774049656173,35.2150745042538,37.0888576909992,32.8419236318701,30.6188356614021,40.614068665622,39.8495691990418,37.6233933221473,37.1381380457582,36.660012509324,35.9556687440527,32.9364674356995,39.5786065702239,34.2391485534953,31.8131949229644,33.9287059358346,39.7830181667622,37.4885902092822,41.004246987279,33.8566836991275,37.622689254506,34.1419555193463,33.3603698511565,29.7311861521567,0
"8",10000274,"MI",28.4987290784177,29.6271762273596,24.8932275914305,18.9631978575451,27.2207909052925,30.7810634678107,28.4761577878233,30.2309750196817,33.0151722349028,32.8565523147328,27.6902202552231,33.2461768888916,35.5681980772659,33.6010453711433,27.9771572944176,33.8191853261436,32.6980917464442,33.1209114003666,31.9353941129519,34.309607154357,35.1724476592822,35.2835593563628,40.099267205374,32.1987679932064,28.9455996277197,32.7113218732067,36.5727181330155,30.0972599333673,38.1651632114433,35.1570841030497,33.9016292257091,32.9212232509416,30.6389003480506,28.9797594479433,0
"9",10000275,"MI",29.1068299869127,32.5998228655788,30.57224276161,NA,36.2260619658846,33.9558334560763,35.7865571783999,33.0155620356514,37.9086113151036,36.2494877449431,32.5741240250277,35.6052921971232,38.5990751487401,36.4259957057198,30.7167850135111,38.1067402691065,35.2962346373971,37.3254633174288,35.932232740605,40.4851714460115,39.95545126618,38.7672073093118,45.9437689002535,34.7152012465869,34.709748186267,35.3383891233783,42.3774452145033,38.2271028023734,41.7211865872529,42.9412558873385,40.101217682356,36.5622679614092,34.7082731421194,32.3205106411858,1
"10",10000277,"MI",29.3318739311027,31.6736893927173,12.3549615316102,26.9830094622711,32.5016828359983,30.9201200475883,32.9740950859229,32.7834947469486,34.8479444670136,32.6723461204238,30.4077378328937,33.417643519108,38.1048473389015,33.2992227773964,26.6295159951252,36.2596125597861,35.2182678158442,35.0910752022847,36.7335597130462,33.5719816411016,36.3357912022206,35.4029638624582,37.7511386697595,32.2988783860151,31.571193219314,33.1585479226824,40.0992178236288,37.4513308770948,40.6356216832043,33.1321824124552,36.8563467357228,34.9375776632109,34.4445061399774,32.758593981123,0
"11",10000278,"MI",27.8770588367431,29.9676502292187,12.5336633117454,26.1324800676263,27.7622281674917,28.5162585617499,32.5274054685638,34.0186152398818,34.8691833942757,33.3163015922082,32.7102516072911,35.4289961341591,40.0389014666092,35.6813819947103,28.5940164256873,38.8818773971929,38.6230448958822,35.3358834957622,38.6356168986664,35.9343607506153,38.2444217916673,36.9429308216203,39.2139703104044,34.5952086092826,34.5155213994794,36.1415986803009,39.9974992676982,37.4999189491772,40.6184887361081,34.7764156822898,38.434875382465,35.9796405387136,35.3416711852898,32.728558670474,0
