,system:index,DateTime,FACILITYID,Hour,NAME,Year,pressure,specific_humidity,temperature (Celsius),max_heat_index,relative_humidity,heat_index_risk_level,Date,avg_heat_index
68,A19900705_2100_00000000000000000555,1990-07-05 21:00:00,10002395,21,CENTRAL DETENTION FACILITY,1990,100510.5,0.0199663,34.07000000000005,106.39876692081808,57.48864969739046,Danger,1990-07-05,86.46851785161113
69,A19900705_2100_00000000000000000556,1990-07-05 21:00:00,10002396,21,CORRECTIONAL TREATMENT FACILITY,1990,100510.5,0.0199663,34.07000000000005,106.39876692081808,57.48864969739046,Danger,1990-07-05,86.46851785161113
288,A19910723_1800_00000000000000000555,1991-07-23 18:00:00,10002395,18,CENTRAL DETENTION FACILITY,1991,100564.59,0.0141345,38.23000000000002,105.62481008174628,32.87239975986717,Danger,1991-07-23,90.10337347502042
289,A19910723_1800_00000000000000000556,1991-07-23 18:00:00,10002396,18,CORRECTIONAL TREATMENT FACILITY,1991,100564.59,0.0141345,38.23000000000002,105.62481008174628,32.87239975986717,Danger,1991-07-23,90.10337347502042
454,A19920714_2100_00000000000000000555,1992-07-14 21:00:00,10002395,21,CENTRAL DETENTION FACILITY,1992,100564.72,0.0148103,35.700000000000045,101.08391933181784,39.483051613742425,Extreme Caution,1992-07-14,84.0072791378979
455,A19920714_2100_00000000000000000556,1992-07-14 21:00:00,10002396,21,CORRECTIONAL TREATMENT FACILITY,1992,100564.72,0.0148103,35.700000000000045,101.08391933181784,39.483051613742425,Extreme Caution,1992-07-14,84.0072791378979
624,A19930707_2100_00000000000000000555,1993-07-07 21:00:00,10002395,21,CENTRAL DETENTION FACILITY,1993,101191.52,0.0188332,34.150000000000034,104.65427752645988,54.50360647197135,Danger,1993-07-07,88.60460647497959
625,A19930707_2100_00000000000000000556,1993-07-07 21:00:00,10002396,21,CORRECTIONAL TREATMENT FACILITY,1993,101191.52,0.0188332,34.150000000000034,104.65427752645988,54.50360647197135,Danger,1993-07-07,88.60460647497959
810,A19940708_2100_00000000000000000555,1994-07-08 21:00:00,10002395,21,CENTRAL DETENTION FACILITY,1994,101208.95,0.0183071,33.84000000000003,102.95506283993082,53.985607108815614,Extreme Caution,1994-07-08,88.21823217530878
811,A19940708_2100_00000000000000000556,1994-07-08 21:00:00,10002396,21,CORRECTIONAL TREATMENT FACILITY,1994,101208.95,0.0183071,33.84000000000003,102.95506283993082,53.985607108815614,Extreme Caution,1994-07-08,88.21823217530878
1008,A19950715_2100_00000000000000000555,1995-07-15 21:00:00,10002395,21,CENTRAL DETENTION FACILITY,1995,100781.15,0.0208084,37.05000000000001,115.44587875738333,50.85800400615859,Danger,1995-07-15,89.09890000958598
1009,A19950715_2100_00000000000000000556,1995-07-15 21:00:00,10002396,21,CORRECTIONAL TREATMENT FACILITY,1995,100781.15,0.0208084,37.05000000000001,115.44587875738333,50.85800400615859,Danger,1995-07-15,89.09890000958598
1146,A19960622_2100_00000000000000000555,1996-06-22 21:00:00,10002395,21,CENTRAL DETENTION FACILITY,1996,100278.55,0.0182537,32.06003906250004,98.41888417843477,58.95615839642701,Extreme Caution,1996-06-22,84.87343401631115
1147,A19960622_2100_00000000000000000556,1996-06-22 21:00:00,10002396,21,CORRECTIONAL TREATMENT FACILITY,1996,100278.55,0.0182537,32.06003906250004,98.41888417843477,58.95615839642701,Extreme Caution,1996-06-22,84.87343401631115
1440,A19970816_2100_00000000000000000555,1997-08-16 21:00:00,10002395,21,CENTRAL DETENTION FACILITY,1997,100709.51,0.0147902,38.38,107.03647766787311,34.11217675885841,Danger,1997-08-16,85.6048506921569
1441,A19970816_2100_00000000000000000556,1997-08-16 21:00:00,10002396,21,CORRECTIONAL TREATMENT FACILITY,1997,100709.51,0.0147902,38.38,107.03647766787311,34.11217675885841,Danger,1997-08-16,85.6048506921569
