,system:index,DateTime,FACILITYID,Hour,NAME,Year,pressure,specific_humidity,temperature (Celsius),max_heat_index,relative_humidity,heat_index_risk_level,Date,avg_heat_index
5662,A19900703_2100_00000000000000000234,1990-07-03 21:00:00,10000262,21,MCF - FARIBAULT,1990,96527.22,0.0201337,35.200000000000045,107.7614275150398,52.26389701503764,Danger,1990-07-03,81.84329986401511
5618,A19900703_2100_000000000000000003ed,1990-07-03 21:00:00,10000263,21,FCI WASECA,1990,96269.94,0.0190461,35.29000000000002,105.88267577908478,49.19659311417551,Danger,1990-07-03,82.11666127489683
14979,A19900826_2100_000000000000000001d8,1990-08-26 21:00:00,10000264,21,ALGER CORRECTIONAL FACILITY,1990,98862.62,0.0147429,26.71000000000004,82.4143232321808,64.49381833156625,Caution,1990-08-26,68.28960417515579
5881,A19900704_2100_00000000000000000214,1990-07-04 21:00:00,10000267,21,OAKS CORRECTIONAL FACILITY,1990,98611.82,0.0214435,30.15000000000004,98.25266266226356,75.34252746395683,Extreme Caution,1990-07-04,74.31899314773368
5798,A19900704_1800_000000000000000001ca,1990-07-04 18:00:00,10000269,18,THUMB CORRECTIONAL FACILITY,1990,97798.7,0.0207051,33.72000000000003,105.85367123545234,59.04441863610342,Danger,1990-07-04,79.62793310427892
5855,A19900704_2100_00000000000000000303,1990-07-04 21:00:00,10000272,21,IONIA CORRECTIONAL FACILITY,1990,98193.9,0.0214627,32.96000000000004,105.62613223223596,64.00787693841713,Danger,1990-07-04,79.16752464937893
5892,A19900704_2100_00000000000000000317,1990-07-04 21:00:00,10000273,21,RICHARD A HANDLON CORRECTIONAL FACILITY,1990,98193.9,0.0214627,32.96000000000004,105.62613223223596,64.00787693841713,Danger,1990-07-04,79.16752464937893
5803,A19900704_1900_000000000000000001cb,1990-07-04 19:00:00,10000274,19,WOODLAND CENTER CORRECTIONAL FACILITY,1990,97743.98,0.0205393,33.610000000000014,105.24795157484051,58.92437444175117,Danger,1990-07-04,80.16142191482278
5836,A19900704_2100_000000000000000002e6,1990-07-04 21:00:00,10000275,21,FCI MILAN,1990,98475.5,0.0202659,34.379999999999995,106.87981107472795,56.14912928574467,Danger,1990-07-04,81.26526677512577
5842,A19900704_2100_00000000000000000301,1990-07-04 21:00:00,10000277,21,G ROBERT COTTON CORRECTIONAL FACILITY,1990,97564.78,0.0204895,33.43000000000001,104.6447354781756,59.27552132318309,Danger,1990-07-04,79.33616876108768
