,system:index,DateTime,FACILITYID,Hour,NAME,Year,pressure,specific_humidity,temperature (Celsius),max_heat_index,relative_humidity,heat_index_risk_level,Date,avg_heat_index
9478,A19900718_2100_000000000000000001d3,1990-07-18 21:00:00,10000092,21,NORTHEAST CORRECTIONAL COMPLEX WORK CAMP,1990,98107.84,0.0159163,27.80000000000001,85.37970801186299,64.6272875660472,Caution,1990-07-18,73.22236032261695
9401,A19900718_1800_0000000000000000027b,1990-07-18 18:00:00,10000094,18,SOUTHERN STATE CORRECTIONAL FACILITY,1990,99523.56,0.0164483,28.860000000000014,88.43168346124178,63.61523062531358,Caution,1990-07-18,76.02684828880619
9361,A19900718_1800_0000000000000000027d,1990-07-18 18:00:00,10000095,18,MARBLE VALLEY REGIONAL CORRECTIONAL FACILITY,1990,98107.88,0.0160935,28.010000000000048,85.98196191705546,64.52235017875965,Caution,1990-07-18,73.95329195972656
12691,A19900804_1800_000000000000000004f1,1990-08-04 18:00:00,10000100,18,BOLDUC CORRECTIONAL FACILITY,1990,101190.83,0.0132375,26.65000000000004,81.74422025932674,59.707569154086784,Caution,1990-08-04,70.86370246397654
6638,A19900704_2100_00000000000000000276,1990-07-04 21:00:00,10000281,21,MCI - CONCORD,1990,99569.26,0.0177339,29.720000000000027,91.94790377057858,65.08447591614342,Extreme Caution,1990-07-04,78.78539064841166
9839,A19900720_1800_00000000000000000187,1990-07-20 18:00:00,10000282,18,PONDVILLE CORRECTIONAL CENTER,1990,100423.53,0.0168828,30.470039062500007,92.74734455384194,59.98555363369452,Extreme Caution,1990-07-20,78.52246939986954
3361,A19900617_2100_00000000000000000622,1990-06-17 21:00:00,10000709,21,SCI ALBION,1990,97991.07,0.0163149,27.56,85.13488359310399,67.03472407448409,Caution,1990-06-17,73.51635568917419
6718,A19900704_2100_000000000000000002ea,1990-07-04 21:00:00,10000712,21,USP CANAAN,1990,95375.98,0.0186383,28.79000000000002,89.7774160837597,68.984208290987,Caution,1990-07-04,74.09433791514472
6719,A19900704_2100_000000000000000002ef,1990-07-04 21:00:00,10000713,21,USP CANAAN CAMP,1990,95375.98,0.0186383,28.79000000000002,89.7774160837597,68.984208290987,Caution,1990-07-04,74.09433791514472
6685,A19900704_2100_00000000000000000628,1990-07-04 21:00:00,10000718,21,SCI DALLAS,1990,96367.34,0.0188863,30.010000000000048,93.34204494525989,65.78626004766448,Extreme Caution,1990-07-04,76.22294048290887
6697,A19900704_2100_00000000000000000631,1990-07-04 21:00:00,10000719,21,SCI RETREAT,1990,97369.58,0.0192795,30.57000000000005,95.56426341031546,65.64607135318343,Extreme Caution,1990-07-04,77.73023738849325
6571,A19900704_2100_0000000000000000051d,1990-07-04 21:00:00,10000720,21,CI MOSHANNON VALLEY,1990,95431.02,0.0192515,29.58000000000004,92.5001169039258,68.00876652232942,Extreme Caution,1990-07-04,75.78141958368722
6690,A19900704_2100_0000000000000000062a,1990-07-04 21:00:00,10000721,21,SCI HOUTZDALE,1990,95032.3,0.0190051,29.28000000000003,91.3412689638581,68.06682333963015,Extreme Caution,1990-07-04,75.37405342414964
6691,A19900704_2100_0000000000000000062c,1990-07-04 21:00:00,10000728,21,SCI HUNTINGDON,1990,97761.9,0.0182375,31.870000000000005,97.1749027963076,58.0493505722936,Extreme Caution,1990-07-04,80.54956269903032
6906,A19900705_1800_00000000000000000626,1990-07-05 18:00:00,10000733,18,SCI CAMP HILL,1990,99346.0,0.018502900390625,33.07000000000005,100.88065046833272,55.89274926999456,Extreme Caution,1990-07-05,82.88554245252665
6919,A19900705_1800_0000000000000000012b,1990-07-05 18:00:00,10000737,18,SCI SOMERSET,1990,93596.88,0.017770100390625,28.129999999999995,86.97431191497901,67.2126920902144,Caution,1990-07-05,74.06824267802804
11702,A19900730_1800_00000000000000000047,1990-07-30 18:00:00,10000744,18,CAPE VINCENT CORRECTIONAL FACILITY,1990,100038.5,0.0132274,30.03000000000003,87.53775324229352,48.456543970405534,Caution,1990-07-30,77.09114469375426
6551,A19900704_2100_00000000000000000046,1990-07-04 21:00:00,10000745,21,AUBURN CORRECTIONAL FACILITY,1990,98074.22,0.0201827,30.96000000000004,98.18967608721913,67.54189563272607,Extreme Caution,1990-07-04,77.84427030038597
6567,A19900704_2100_00000000000000000250,1990-07-04 21:00:00,10000750,21,CENTRAL NEW YORK PSYCHIATRIC CENTER,1990,98394.86,0.0198575,29.23000000000001,93.18471706825969,73.69309521529979,Extreme Caution,1990-07-04,77.33237784109342
6632,A19900704_2100_0000000000000000016e,1990-07-04 21:00:00,10000751,21,MARCY CORRECTIONAL FACILITY,1990,98394.86,0.0198575,29.23000000000001,93.18471706825969,73.69309521529979,Extreme Caution,1990-07-04,77.33237784109342
6606,A19900704_2100_00000000000000000039,1990-07-04 21:00:00,10000754,21,FIVE POINTS CORRECTIONAL FACILITY,1990,97827.82,0.0200935,31.700000000000045,99.81463128367714,64.3229166034281,Extreme Caution,1990-07-04,78.07414881855092
6617,A19900704_2100_000000000000000003af,1990-07-04 21:00:00,10000756,21,GROVELAND CORRECTIONAL FACILITY,1990,97919.98,0.0207539,31.15000000000004,99.57967364009136,68.50010272577293,Extreme Caution,1990-07-04,78.20796515906764
6616,A19900704_2100_000000000000000001be,1990-07-04 21:00:00,10000757,21,GROVELAND ANNEX,1990,97919.98,0.0207539,31.15000000000004,99.57967364009136,68.50010272577293,Extreme Caution,1990-07-04,78.20796515906764
6626,A19900704_2100_0000000000000000016f,1990-07-04 21:00:00,10000759,21,LAKEVIEW SHOCK INCARCERATION CORRECTIONAL FACILITY,1990,98543.34,0.0208535,29.879999999999995,96.50950602079938,74.47180017858793,Extreme Caution,1990-07-04,77.91820705712449
6625,A19900704_2100_0000000000000000002c,1990-07-04 21:00:00,10000760,21,LAKEVIEW SHOCK INCARCERATION CF - ANNEX,1990,98543.34,0.0208535,29.879999999999995,96.50950602079938,74.47180017858793,Extreme Caution,1990-07-04,77.91820705712449
6622,A19900704_2100_0000000000000000052d,1990-07-04 21:00:00,10000761,21,HUDSON CORRECTIONAL FACILITY / WORK RELEASE,1990,99768.3,0.0205247,30.860000000000014,99.11796016465024,70.21332650562186,Extreme Caution,1990-07-04,80.15164822680946
6703,A19900704_2100_0000000000000000003c,1990-07-04 21:00:00,10000763,21,SHAWANGUNK CORRECTIONAL FACILITY,1990,98775.66,0.0202691,30.04000000000002,96.13609168122792,71.99534034355281,Extreme Caution,1990-07-04,78.37066535529229
6881,A19900705_1800_00000000000000000150,1990-07-05 18:00:00,10000770,18,FCI FORT DIX,1990,100530.64,0.020400500390625,33.71000000000004,106.40312833008105,59.87947788096941,Danger,1990-07-05,83.22842012832663
6620,A19900704_2100_0000000000000000050a,1990-07-04 21:00:00,10000926,21,HARTFORD CORRECTIONAL CENTER,1990,100082.54,0.0190903,30.450000000000045,95.81644477144746,67.30512371361974,Extreme Caution,1990-07-04,80.29982834737534
6628,A19900704_2100_00000000000000000545,1990-07-04 21:00:00,10000927,21,MACDOUGALL-WALKER CORRECTIONAL INSTITUTION,1990,99823.34,0.0191175,30.200000000000045,95.14263996154678,68.19217810159721,Extreme Caution,1990-07-04,79.86613202045363
6664,A19900704_2100_00000000000000000509,1990-07-04 21:00:00,10000928,21,OSBORN CORRECTIONAL INSTITUTION,1990,98912.62,0.0186975,29.33000000000004,92.06825131258424,69.55162777619766,Extreme Caution,1990-07-04,78.42920584634271
6656,A19900704_2100_0000000000000000054c,1990-07-04 21:00:00,10000929,21,NORTHERN CORRECTIONAL INSTITUTION,1990,98912.62,0.0186975,29.33000000000004,92.06825131258424,69.55162777619766,Extreme Caution,1990-07-04,78.42920584634271
9749,A19900720_1800_00000000000000000549,1990-07-20 18:00:00,10000931,18,CORRIGAN-RADGOWSKI CORRECTIONAL CENTER,1990,100851.05,0.0178864,30.130039062500032,93.46199007140947,64.91551251555478,Extreme Caution,1990-07-20,78.6233657449409
9893,A19900720_1800_0000000000000000054b,1990-07-20 18:00:00,10000933,18,YORK CORRECTIONAL INSTITUTION,1990,101076.33,0.0178984,29.450039062500025,91.8720678602738,67.7003058873179,Extreme Caution,1990-07-20,77.86231679942033
6609,A19900704_2100_00000000000000000544,1990-07-04 21:00:00,10000934,21,GARNER CORRECTIONAL INSTITUTION,1990,99033.58,0.0188063,29.660000000000025,93.09085802786916,68.70290107878408,Extreme Caution,1990-07-04,78.54302338780938
