,system:index,DateTime,FACILITYID,Hour,NAME,Year,pressure,specific_humidity,temperature (Celsius),max_heat_index,relative_humidity,heat_index_risk_level,Date,avg_heat_index
11950,A19900704_1800_00000000000000000100,1990-07-04 18:00:00,10000060,18,NORTH CENTRAL UNIT,1990,99382.06,0.0215671,34.10000000000002,109.2346887374488,61.055714363311374,Danger,1990-07-04,93.75832996030468
6303,A19900618_2100_0000000000000000052c,1990-06-18 21:00:00,10000062,21,NORTHWEST ARKANSAS WORK RELEASE CENTER,1990,97211.97,0.0208947,32.80000000000001,103.71696015135733,62.33611865503613,Danger,1990-06-18,90.8023615238851
6108,A19900618_1800_00000000000000000230,1990-06-18 18:00:00,10000065,18,NORTHEAST ARKANSAS COMMUNITY CORRECTION CENTER,1990,100717.73,0.019296,35.0,107.37172559438253,52.95578084169239,Danger,1990-06-18,94.96409415885611
6106,A19900618_1800_00000000000000000222,1990-06-18 18:00:00,10000066,18,MISSISSIPPI COUNTY WORK RELEASE CENTER,1990,100691.49,0.0192936,35.129999999999995,107.66387047327922,52.55594638391264,Danger,1990-06-18,94.74810541067757
31242,A19900827_2100_00000000000000000223,1990-08-27 21:00:00,10000069,21,MCPHERSON UNIT,1990,100613.27,0.0149735,38.920000000000016,108.52784273370008,33.49526386144674,Danger,1990-08-27,95.76057678841119
31204,A19900827_2100_0000000000000000021c,1990-08-27 21:00:00,10000070,21,GRIMES UNIT,1990,100613.27,0.0149735,38.920000000000016,108.52784273370008,33.49526386144674,Danger,1990-08-27,95.76057678841119
11312,A19900702_2100_00000000000000000215,1990-07-02 21:00:00,10000075,21,EAST ARKANSAS REGIONAL UNIT,1990,100534.66,0.0190178,35.52000000000004,107.98023882117523,50.65544645771053,Danger,1990-07-02,95.89800250505125
6544,A19900619_2100_00000000000000000216,1990-06-19 21:00:00,10000076,21,BENTON UNIT,1990,99544.86,0.0213895,33.99000000000001,108.66931459330036,61.05227930794521,Danger,1990-06-19,96.06736234843164
6689,A19900619_2100_00000000000000000237,1990-06-19 21:00:00,10000078,21,OUACHITA RIVER UNIT,1990,99621.66,0.0213523,34.03000000000003,108.7269532846768,60.86270929458113,Danger,1990-06-19,96.31177202430484
6542,A19900619_2100_00000000000000000211,1990-06-19 21:00:00,10000079,21,BARBARA ESTER UNIT,1990,100092.06,0.0209127,34.629999999999995,109.49909381104604,57.98636463907507,Danger,1990-06-19,96.99526187294623
6692,A19900619_2100_0000000000000000022b,1990-06-19 21:00:00,10000080,21,PINE BLUFF UNIT,1990,100092.06,0.0209127,34.629999999999995,109.49909381104604,57.98636463907507,Danger,1990-06-19,96.99526187294623
6697,A19900619_2100_0000000000000000022a,1990-06-19 21:00:00,10000081,21,RANDALL L. WILLIAMS CORRECTIONAL FACILITY,1990,100092.06,0.0209127,34.629999999999995,109.49909381104604,57.98636463907507,Danger,1990-06-19,96.99526187294623
6717,A19900619_2100_00000000000000000228,1990-06-19 21:00:00,10000082,21,SOUTHEAST ARKANSAS COMMUNITY CORRECTIONS CENTER,1990,100092.06,0.0209127,34.629999999999995,109.49909381104604,57.98636463907507,Danger,1990-06-19,96.99526187294623
11665,A19900703_2100_00000000000000000224,1990-07-03 21:00:00,10000083,21,MAXIMUM SECURITY UNIT,1990,100633.46,0.0188173,36.03000000000003,108.82536138134344,48.804672210511626,Danger,1990-07-03,96.95943362215036
