,system:index,DateTime,FACILITYID,Hour,NAME,Year,pressure,specific_humidity,temperature,max_heat_index,relative_humidity,heat_index_risk_level,Date,avg_heat_index
4270,A19900628_2100_00000000000000000469,6/28/1990 21:00,10000151,21,DALHART PRISON,1990,87387.99,0.0064632,41.56,101.8801217,11.14493443,Extreme Caution,6/28/1990,90.13052480673913
3673,A19900624_2100_0000000000000000048c,6/24/1990 21:00,10000152,21,JORDAN PRISON,1990,90119.61,0.0082775,40.54,101.8108448,15.46650589,Extreme Caution,6/24/1990,91.12359700184783
3608,A19900624_2100_00000000000000000465,6/24/1990 21:00,10000154,21,CLEMENTS PRISON,1990,88919.61,0.0051515,41.81,101.3743128,8.950264123,Extreme Caution,6/24/1990,90.62096363521738
3728,A19900624_2100_000000000000000000b1,6/24/1990 21:00,10000155,21,TULIA TRANSFER FACILITY,1990,89077.05,0.0048431,42.8,102.6414068,8.007905125,Extreme Caution,6/24/1990,91.01908910228262
3708,A19900624_2100_000000000000000005e8,6/24/1990 21:00,10000156,21,ROACH UNIT,1990,94307.77,0.0097131,43.68,109.5971097,16.03788192,Danger,6/24/1990,96.92264704358695
4004,A19900626_2100_00000000000000000159,6/26/1990 21:00,10000157,21,LINDSEY STATE JAIL,1990,97209.72,0.0150293,37.85003906,105.3669842,34.41318891,Danger,6/26/1990,96.21722973836955
3604,A19900624_2100_0000000000000000025f,6/24/1990 21:00,10000159,21,CI GILES W DALBY,1990,92505.53,0.0072763,43.19,105.6868173,12.16542627,Danger,6/24/1990,93.86276649108696
3710,A19900624_2100_00000000000000000153,6/24/1990 21:00,10000160,21,RUDD TRANSFER FACILITY,1990,89786.81,0.0062439,42.33,103.096873,10.62804533,Danger,6/24/1990,91.36821856815217
13981,A19900829_2100_0000000000000000048b,8/29/1990 21:00,10000161,21,JOHNSTON SAFPF,1990,99313.36,0.0151361,38.25003906,106.9536936,34.63887047,Danger,8/29/1990,97.20198251217391
3978,A19900626_2100_000000000000000002d3,6/26/1990 21:00,10000163,21,FMC FORT WORTH,1990,98986.36,0.0160473,37.74003906,107.2103477,37.54399271,Danger,6/26/1990,98.71886264815218
3976,A19900626_2100_0000000000000000018d,6/26/1990 21:00,10000165,21,FMC CARSWELL,1990,98983.8,0.0163221,37.64003906,107.4448775,38.36765233,Danger,6/26/1990,98.69790039391305
13946,A19900829_2100_00000000000000000300,8/29/1990 21:00,10000172,21,FCI SEAGOVILLE,1990,99580.24,0.0125785,40.73003906,108.5106583,25.42964969,Danger,8/29/1990,99.61990807163045
3705,A19900624_2100_0000000000000000046a,6/24/1990 21:00,10000174,21,PRICE DANIEL UNIT,1990,92870.97,0.0077539,41.59,103.4374211,14.1401575,Danger,6/24/1990,92.96257171086957
3709,A19900624_2100_000000000000000005e9,6/24/1990 21:00,10000175,21,ROBERTSON PRISON,1990,95254.33,0.0086563,42.07,105.4674768,15.74950129,Danger,6/24/1990,95.41220767815219
3691,A19900624_2100_00000000000000000496,6/24/1990 21:00,10000176,21,MIDDLETON TRANSFER FACILITY,1990,94824.25,0.0087891,41.41,104.3489107,16.47806572,Danger,6/24/1990,94.2204433002174
13937,A19900829_2100_000000000000000005f2,8/29/1990 21:00,10000178,21,ESTES PRISON,1990,98807.12,0.0118897,40.59003906,107.0814295,24.07073728,Danger,8/29/1990,98.57109010782608
3892,A19900625_2100_00000000000000000155,6/25/1990 21:00,10000180,21,WALLACE UNIT,1990,93677.05,0.0089797,41.2,104.0422913,16.80963904,Danger,6/25/1990,94.2772359698913
3773,A19900625_2100_000000000000000000ba,6/25/1990 21:00,10000182,21,CI BIG SPRING,1990,92512.25,0.0079729,41.51,103.4776036,14.53664398,Danger,6/25/1990,93.19498541010869
14083,A19900830_2100_000000000000000002e1,8/30/1990 21:00,10000183,21,BILLY MOORE CORRECTIONAL CENTER,1990,99628.37,0.0152717,37.65003906,105.9055869,36.20777843,Danger,8/30/1990,97.80331336815217
13965,A19900829_2100_0000000000000000047c,8/29/1990 21:00,10000184,21,GURNEY TRANSFER FACILITY,1990,100025.04,0.0147969,38.89003906,108.0205539,32.97448148,Danger,8/29/1990,99.65341044880435
14008,A19900829_2100_000000000000000005e6,8/29/1990 21:00,10000185,21,POWLEDGE PRISON,1990,100287.44,0.0148833,38.97003906,108.407725,33.10382761,Danger,8/29/1990,100.24007657391304
13997,A19900829_2100_0000000000000000000f,8/29/1990 21:00,10000186,21,MICHAEL STATE PRISON,1990,100261.84,0.0143793,39.68003906,109.1656136,30.81692118,Danger,8/29/1990,100.58764628413044
13924,A19900829_2100_0000000000000000000d,8/29/1990 21:00,10000187,21,COFFIELD UNIT,1990,100261.84,0.0143793,39.68003906,109.1656136,30.81692118,Danger,8/29/1990,100.58764628413044
