,system:index,DateTime,FACILITYID,Hour,NAME,Year,pressure,specific_humidity,temperature (Celsius),max_heat_index,relative_humidity,heat_index_risk_level,Date,avg_heat_index
1403,A19900702_2100_000000000000000000d1,1990-07-02 21:00:00,10000053,21,WYOMING HONOR CONSERVATION CAMP AND BOOT CAMP,1990,83754.5,0.0065842,37.27000000000004,94.55669546986992,13.696036273560251,Extreme Caution,1990-07-02,79.75366361793611
1404,A19900702_2100_000000000000000004b3,1990-07-02 21:00:00,10000055,21,WYOMING HONOR FARM,1990,84065.54,0.0061578,37.28000000000003,94.40298004877688,12.8636903714689,Extreme Caution,1990-07-02,84.15035896931975
1407,A19900702_2100_000000000000000004a7,1990-07-02 21:00:00,10000056,21,WYOMING WOMEN'S CENTER,1990,83899.14,0.0066566,36.88,93.92690637690372,14.166407351454843,Extreme Caution,1990-07-02,80.5599969551058
1313,A19900630_2100_000000000000000004b4,1990-06-30 21:00:00,10000057,21,WYOMING STATE PENITENTIARY,1990,79701.9,0.0034483,33.400039062500014,87.70648627554644,8.522601243412204,Caution,1990-06-30,78.30079945610703
3321,A19900815_2100_000000000000000000f7,1990-08-15 21:00:00,10001151,21,CROSSROADS CORRECTIONAL CENTER,1990,89046.74,0.0046852,36.05000000000001,91.99698611753776,11.131681388097284,Extreme Caution,1990-08-15,77.60718603813064
2960,A19900807_2100_000000000000000003b2,1990-08-07 21:00:00,10001154,21,HELENA PRE-RELEASE CENTER,1990,87372.23,0.0052554,34.660000000000025,89.85487571137084,13.21055003105698,Caution,1990-08-07,77.94344731212178
1397,A19900702_2100_00000000000000000524,1990-07-02 21:00:00,10001155,21,DAWSON COUNTY CORRECTIONAL FACILITY,1990,92532.74,0.0116766,39.32000000000005,103.1656418342021,23.70709399993792,Danger,1990-07-02,85.25400464709182
3325,A19900815_2100_0000000000000000051b,1990-08-15 21:00:00,10001156,21,GREAT FALLS WOMEN'S PRE-RELEASE CENTER,1990,88505.94,0.0040708,36.78000000000003,93.00526826535352,9.250497713382638,Extreme Caution,1990-08-15,79.50738445079077
3014,A19900808_2100_00000000000000000542,1990-08-08 21:00:00,10001172,21,IDAHO CORRECTIONAL INSTITUTION-OROFINO,1990,92640.33,0.0081013,36.72000000000003,94.83314787567458,19.133756772165203,Extreme Caution,1990-08-08,79.23638064707262
3024,A19900808_2100_00000000000000000541,1990-08-08 21:00:00,10001173,21,NORTH IDAHO CORRECTIONAL INSTITUTION,1990,87594.57,0.0079017,32.89000000000004,87.74092667364015,21.83561280808736,Caution,1990-08-08,73.32321371650588
2980,A19900807_2100_0000000000000000013d,1990-08-07 21:00:00,10001176,21,ST. ANTHONY WORK CAMP,1990,85164.23,0.0041146,36.77000000000004,92.96443025998184,9.000907162417757,Extreme Caution,1990-08-07,81.10172998400903
3023,A19900808_2100_00000000000000000373,1990-08-08 21:00:00,10001177,21,NAMPA COMMUNITY REENTRY CENTER,1990,92384.33,0.0051537,41.71000000000004,101.36806640717904,9.35218638551026,Extreme Caution,1990-08-08,87.42068421011214
2979,A19900807_2100_000000000000000005a8,1990-08-07 21:00:00,10001180,21,SOUTH IDAHO CORRECTIONAL INSTITUTION,1990,90652.87,0.0045422,40.5,99.02644209774058,8.637892062584353,Extreme Caution,1990-08-07,85.5525309345948
2966,A19900807_2100_0000000000000000053f,1990-08-07 21:00:00,10001181,21,IDAHO STATE CORRECTIONAL INSTITUTION,1990,90652.87,0.0045422,40.5,99.02644209774058,8.637892062584353,Extreme Caution,1990-08-07,85.5525309345948
2964,A19900807_2100_0000000000000000053e,1990-08-07 21:00:00,10001182,21,IDAHO MAXIMUM SECURITY INSTITUTION,1990,90652.87,0.0045422,40.5,99.02644209774058,8.637892062584353,Extreme Caution,1990-08-07,85.5525309345948
2965,A19900807_2100_00000000000000000379,1990-08-07 21:00:00,10001183,21,IDAHO STATE CORRECTIONAL CENTER,1990,90652.87,0.0045422,40.5,99.02644209774058,8.637892062584353,Extreme Caution,1990-08-07,85.5525309345948
2958,A19900807_2100_0000000000000000053b,1990-08-07 21:00:00,10001184,21,EAST BOISE COMMUNITY REENTRY CENTER,1990,91162.31,0.0049418,40.450000000000045,99.20314402927512,9.466089888099056,Extreme Caution,1990-08-07,85.30015662302176
2978,A19900807_2100_00000000000000000540,1990-08-07 21:00:00,10001185,21,SOUTH BOISE WOMEN'S CORRECTIONAL CENTER,1990,90652.87,0.0045422,40.5,99.02644209774058,8.637892062584353,Extreme Caution,1990-08-07,85.5525309345948
2963,A19900807_2100_0000000000000000053d,1990-08-07 21:00:00,10001186,21,IDAHO FALLS COMMUNITY REENTRY CENTER,1990,85940.55,0.003995,37.660000000000025,94.32523937712212,8.40369226082213,Extreme Caution,1990-08-07,82.72474304775513
3025,A19900808_2100_00000000000000000543,1990-08-08 21:00:00,10001187,21,POCATELLO WOMEN'S CORRECTIONAL CENTER,1990,83755.21,0.0044241,35.650000000000034,91.24939055114838,10.113717514311553,Extreme Caution,1990-08-08,79.76098894677949
3317,A19900815_2100_00000000000000000523,1990-08-15 21:00:00,10001933,21,CASCADE COUNTY REGIONAL PRISON,1990,88701.78,0.0041156,36.94,93.26886729157911,9.290281894332937,Extreme Caution,1990-08-15,79.86275731762949
2952,A19900807_2100_00000000000000000009,1990-08-07 21:00:00,10001936,21,BUTTE PRE-RELEASE / WOMEN'S TRANSITIONAL CENTER,1990,81801.67,0.0057246,29.82000000000005,82.46761308945051,17.691053384169557,Caution,1990-08-07,69.70032156937299
3071,A19900809_2100_00000000000000000000,1990-08-09 21:00:00,10002616,21,UTAH COUNTY JAIL,1990,86443.31,0.005530500390625,36.72003906250001,93.29534420334576,12.26876838740582,Extreme Caution,1990-08-09,85.1659038771103
3053,A19900809_2100_00000000000000000003,1990-08-09 21:00:00,10002617,21,CENTRAL UTAH CORRECTIONAL FACILITY,1990,83965.87,0.005165700390625,33.97003906250001,88.69086280598923,12.970586930705515,Caution,1990-08-09,81.96820196163893
3031,A19900808_2100_00000000000000000001,1990-08-08 21:00:00,10003464,21,"UTAH STATE PRISON, DRAPER - NORTH COMPLEX",1990,85062.73,0.0044469,36.35000000000002,92.37319563070022,9.933917713042874,Extreme Caution,1990-08-08,84.25405265129068
3032,A19900808_2100_00000000000000000002,1990-08-08 21:00:00,10003465,21,"UTAH STATE PRISON, DRAPER - SOUTH COMPLEX",1990,85062.73,0.0044469,36.35000000000002,92.37319563070022,9.933917713042874,Extreme Caution,1990-08-08,84.25405265129068
2970,A19900807_2100_00000000000000000522,1990-08-07 21:00:00,10003624,21,MONTANA STATE PRISON,1990,85153.99,0.0064986,31.590000000000032,85.19392156179639,18.85674345835997,Caution,1990-08-07,73.42437012419758
2977,A19900807_2100_00000000000000000525,1990-08-07 21:00:00,10003625,21,RIVERSIDE RECOVERY & REENTRY PROGRAM,1990,83477.83,0.0051266,32.200000000000045,85.90986368016668,14.137098694093323,Caution,1990-08-07,73.93578076123333
