"","FACILITYID","STATE","POPULATION","SOURCEDATE","TYPE","YEAR","value"
"1",10002616,"UT",689,"2018/05/03","FEDERAL",1998,7.59999990463257
"2",10002616,"UT",689,"2018/05/03","FEDERAL",1999,8
"3",10002616,"UT",689,"2018/05/03","FEDERAL",2000,8.10000038146973
"4",10002616,"UT",689,"2018/05/03","FEDERAL",2001,10
"5",10002616,"UT",689,"2018/05/03","FEDERAL",2002,9.80000019073486
"6",10002616,"UT",689,"2018/05/03","FEDERAL",2003,7.85000014305115
"7",10002616,"UT",689,"2018/05/03","FEDERAL",2004,10.1500000953674
"8",10002616,"UT",689,"2018/05/03","FEDERAL",2005,8.55000019073486
"9",10002616,"UT",689,"2018/05/03","FEDERAL",2006,8.19999980926514
"10",10002616,"UT",689,"2018/05/03","FEDERAL",2007,10.1999998092651
"11",10002616,"UT",689,"2018/05/03","FEDERAL",2008,8.44999980926514
"12",10002616,"UT",689,"2018/05/03","FEDERAL",2009,9.15000009536743
"13",10002616,"UT",689,"2018/05/03","FEDERAL",2010,7.85000014305115
"14",10002616,"UT",689,"2018/05/03","FEDERAL",2011,7.5
"15",10002616,"UT",689,"2018/05/03","FEDERAL",2012,7.40000009536743
"16",10002616,"UT",689,"2018/05/03","FEDERAL",2013,9.75
"17",10002616,"UT",689,"2018/05/03","FEDERAL",2014,6.5
"18",10002616,"UT",689,"2018/05/03","FEDERAL",2015,6.95000004768372
"19",10002616,"UT",689,"2018/05/03","FEDERAL",2016,7.25
"20",10002616,"UT",689,"2018/05/03","FEDERAL",2017,6.90000009536743
"21",10002616,"UT",689,"2018/05/03","FEDERAL",2018,7.80000019073486
"22",10002616,"UT",689,"2018/05/03","FEDERAL",2019,6
"23",10002616,"UT",689,"2018/05/03","FEDERAL",2020,7.14999985694885
"24",10002616,"UT",689,"2018/05/03","FEDERAL",2021,7.69999980926514
"25",10002616,"UT",689,"2018/05/03","FEDERAL",2022,6.80000019073486
"26",10003464,"UT",994,"2020/02/20","STATE",1998,7.83333333333333
"27",10003464,"UT",994,"2020/02/20","STATE",1999,8.73333326975504
"28",10003464,"UT",994,"2020/02/20","STATE",2000,9.6333335240682
"29",10003464,"UT",994,"2020/02/20","STATE",2001,11.233333269755
"30",10003464,"UT",994,"2020/02/20","STATE",2002,11.4666668574015
"31",10003464,"UT",994,"2020/02/20","STATE",2003,8.73333326975504
"32",10003464,"UT",994,"2020/02/20","STATE",2004,12.5333331425985
"33",10003464,"UT",994,"2020/02/20","STATE",2005,9.6333335240682
"34",10003464,"UT",994,"2020/02/20","STATE",2006,9.26666673024496
"35",10003464,"UT",994,"2020/02/20","STATE",2007,11.3666667938232
"36",10003464,"UT",994,"2020/02/20","STATE",2008,10.1666669845581
"37",10003464,"UT",994,"2020/02/20","STATE",2009,10.233333269755
"38",10003464,"UT",994,"2020/02/20","STATE",2010,9.33333333333333
"39",10003464,"UT",994,"2020/02/20","STATE",2011,8.6333335240682
"40",10003464,"UT",994,"2020/02/20","STATE",2012,7.90000009536743
"41",10003464,"UT",994,"2020/02/20","STATE",2013,10.8333333333333
"42",10003464,"UT",994,"2020/02/20","STATE",2014,7.5
"43",10003464,"UT",994,"2020/02/20","STATE",2015,8.00000015894572
"44",10003464,"UT",994,"2020/02/20","STATE",2016,8.0666667620341
"45",10003464,"UT",994,"2020/02/20","STATE",2017,7.86666679382324
"46",10003464,"UT",994,"2020/02/20","STATE",2018,8.29999987284342
"47",10003464,"UT",994,"2020/02/20","STATE",2019,6.69999996821086
"48",10003464,"UT",994,"2020/02/20","STATE",2020,8.1333335240682
"49",10003464,"UT",994,"2020/02/20","STATE",2021,8.56666660308838
"50",10003464,"UT",994,"2020/02/20","STATE",2022,7.73333326975505
"51",10003465,"UT",1839,"2018/01/17","STATE",1998,7.69999996821086
"52",10003465,"UT",1839,"2018/01/17","STATE",1999,8.6333335240682
"53",10003465,"UT",1839,"2018/01/17","STATE",2000,9.43333339691162
"54",10003465,"UT",1839,"2018/01/17","STATE",2001,11.0666666030884
"55",10003465,"UT",1839,"2018/01/17","STATE",2002,11.3333333333333
"56",10003465,"UT",1839,"2018/01/17","STATE",2003,8.56666660308838
