Region,Year and Month,Population-Weighted PM2.5 [ug/m3],Geographic-Mean PM2.5 [ug/m3],Population Coverage [%],Geographic Coverage [%],Total Population [million people],% pop >= 5 ug/m3 [%],% pop >= 10 ug/m3 [%],% pop >= 15 ug/m3 [%],% pop >= 25 ug/m3 [%],% pop >= 30 ug/m3 [%],% pop >= 35 ug/m3 [%],% pop >= 40 ug/m3 [%],% pop >= 45 ug/m3 [%],% pop >= 50 ug/m3 [%],% pop >= 55 ug/m3 [%],% pop >= 60 ug/m3 [%]
Alabama,199801,12.9,12.2,100.0,99.9,4.464,100.0,90.8,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199802,13.0,11.9,100.0,99.9,4.464,100.0,95.9,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199803,12.5,11.5,100.0,99.9,4.464,100.0,91.9,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199804,14.7,13.8,100.0,99.9,4.464,100.0,99.9,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199805,22.6,21.6,100.0,99.9,4.464,100.0,100.0,99.4,15.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199806,13.2,12.7,100.0,99.9,4.464,100.0,88.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199807,19.5,19.7,100.0,99.9,4.464,100.0,100.0,99.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199808,23.5,22.4,100.0,99.9,4.464,100.0,100.0,99.1,41.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199809,17.3,16.5,100.0,99.9,4.464,100.0,100.0,82.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199810,17.1,15.4,100.0,99.9,4.464,100.0,100.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199811,14.0,12.5,100.0,99.9,4.464,100.0,98.5,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199812,12.5,12.0,100.0,99.9,4.464,100.0,94.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199901,12.1,11.5,100.0,99.9,4.464,100.0,87.9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199902,13.6,12.7,100.0,99.9,4.464,100.0,98.7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199903,13.9,12.4,100.0,99.9,4.464,100.0,97.1,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199904,14.2,13.3,100.0,99.9,4.464,100.0,99.5,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199905,17.8,17.0,100.0,99.9,4.464,100.0,99.6,85.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199906,18.2,17.7,100.0,99.9,4.464,100.0,100.0,90.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199907,21.1,20.7,100.0,99.9,4.464,100.0,100.0,97.5,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199908,28.7,28.5,100.0,99.9,4.464,100.0,100.0,100.0,79.7,42.9,7.0,0.0,0.0,0.0,0.0,0.0
Alabama,199909,19.0,18.2,100.0,99.9,4.464,100.0,100.0,94.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,199910,17.3,15.4,100.0,99.9,4.464,100.0,99.8,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
