FID,OBJECTID,NAME,STATE_ABBR,STATE_FIPS,ORDER_ADM,MONTH_ADM,DAY_ADM,YEAR_ADM,TYPE,POP,SQ_MILES,PRIM_MILES,Shape_Leng,Shape__Are,Shape__Len,all_prisons,fed_prisons,state_prisons,state_pw_mean,all_minus_state,fed_minus_state,state_minus_state,all_norm_state,fed_norm_state,state_norm_state
"1","1",Arkansas,AR,"05","25",June,"15","1836",Land,"2915918",53181.199999999997090,1329.599999999999909,21.737081642000000,13.586154712494100,21.737081642710500,7.63094544636832,6.89613105143819,7.7809257869688,7.55,0.0809454463683146,-0.653868948561806,0.230925786968801,1.072,-8.661,3.059
"2","2",Arizona,AZ,"04","48",February,"14","1912",Land,"6392017",113990.100000000005821,1487.700000000000045,23.889714520799998,28.919144571574201,23.889714514917600,6.2249776352714,5.40888176825987,6.37339125090141,7.34166666666667,-1.11668903139527,-1.9327848984068,-0.968275415765253,-15.210,-26.326,-13.189
"3","3",Colorado,CO,"08","38",August,"1","1876",Land,"5029196",104092.000000000000000,1304.599999999999909,22.017103904500001,28.038998129134399,22.017103905707199,4.91062350809965,5.50887592077304,4.74748181282622,5.81666666666667,-0.90604315856702,-0.307790745893628,-1.06918485384045,-15.577,-5.292,-18.381
"4","4",Iowa,IA,"19","29",December,"28","1846",Land,"3046355",56268.599999999998545,1127.299999999999955,20.132064100800001,15.856457186715900,20.132064101075098,6.97913749975341,0,6.97913749975341,7.05,-0.0708625002465917,-7.05,-0.0708625002465917,-1.005,,-1.005
"5","5",Illinois,IL,"17","21",December,"3","1818",Land,"12830632",56339.800000000002910,1318.500000000000000,21.660210923800001,15.408477158903500,21.660210926552200,7.99620039988561,7.91254529577751,8.00796355162078,8.61666666666667,-0.620466266781057,-0.704121370889159,-0.608703115045882,-7.201,-8.172,-7.064
"6","7",Indiana,IN,"18","19",December,"11","1816",Land,"6483802",36184.000000000000000,1070.500000000000000,17.292504143300000,9.872661027994580,17.292504143361800,8.2742747068623,8.74562456580744,8.22038661011258,8.58333333333333,-0.30905862647103,0.162291232474102,-0.362946723220753,-3.601,1.891,-4.229
"7","9",Kansas,KS,"20","34",January,"29","1861",Land,"2853118",82277.199999999997090,1244.599999999999909,21.409754949000000,22.004541280500199,21.409754948787800,6.57597997650398,6.71433628607721,6.53835809080058,6.85,-0.274020023496019,-0.135663713922788,-0.311641909199417,-4.000,-1.980,-4.550
"8","10",Missouri,MO,"29","24",August,"10","1821",Land,"5988927",69705.399999999994179,1469.799999999999955,24.681748635999998,18.614694872716701,24.681748631775900,6.92048071846636,8,6.87700986202995,7.425,-0.504519281533645,0.574999999999998,-0.547990137970053,-6.795,7.744,-7.380
"9","11",Nebraska,NE,"31","37",March,"1","1867",Land,"1826341",77348.199999999997090,1356.599999999999909,24.232543807100001,21.614058607705800,24.232543808719601,6.60493968575778,0,6.60493968575778,6.59166666666667,0.0132730190911099,-6.59166666666667,0.0132730190911099,0.201,,0.201
"10","12",New Mexico,NM,"35","47",January,"6","1912",Land,"2059179",121586.600000000005821,1486.299999999999955,23.673899575000000,30.892298487871098,23.673899574008800,4.39030408664174,4.54999995231628,4.17350437033724,4.875,-0.484695913358257,-0.32500004768372,-0.701495629662763,-9.942,-6.667,-14.390
