FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,SECURELVL,degx,degy,EBF_PFS,PM25F_PFS,TPF,EB_ET,PM25_ET,TC,CC,N_ENY_EOMI,N_PLN_EOMI,washu_mean,pm25_et_wa,pm25_2019,thresh_dif
"59","10002616",UTAH COUNTY JAIL,3075 N MAIN ST,SPANISH FORK,UT,"84660","-999",(801) 851-4210,FEDERAL,OPEN,"689",UTAH,"49049",USA,MAXIMUM,-111.659735,40.148890,0.380000000000000,0.220000000000000,3825.000000000000000,"0","0","0",0.000000000000000,"0","0",5.928571491451054,"0",6.000000000000000,
"93","10003464","UTAH STATE PRISON, DRAPER - NORTH COMPLEX",WEST 13800 SOUTH,DRAPER,UT,"84020","-999",(801) 576-7000,STATE,OPEN,"994",SALT LAKE,"49035",USA,MAXIMUM,-111.895247,40.497912,,0.270000000000000,2336.000000000000000,"0","0","0",0.000000000000000,"0","0",6.666666507720948,"0",6.699999968210860,
"94","10003465","UTAH STATE PRISON, DRAPER - SOUTH COMPLEX",14425 BITTERBRUSH LANE,DRAPER,UT,"84020","-999",(801) 576-7000,STATE,OPEN,"1839",SALT LAKE,"49035",USA,MAXIMUM,-111.901718,40.490781,,0.270000000000000,2336.000000000000000,"0","0","0",0.000000000000000,"0","0",6.666666507720948,"0",6.599999904632570,
"97","10002617",CENTRAL UTAH CORRECTIONAL FACILITY,255 E 300 N ST,GUNNISON,UT,"84634","-999",(435) 528-6000,STATE,OPEN,"1700",SANPETE,"49039",USA,MAXIMUM,-111.811498,39.166243,0.570000000000000,0.010000000000000,6188.000000000000000,"0","0","0",0.000000000000000,"0","0",4.264945377304396,"0",4.850000143051150,
"134","10001080",NORTH CENTRAL CORRECTIONAL FACILITY,313 LANEDALE,ROCKWELL CITY,IA,"50579","-999",(712) 297-7521,STATE,OPEN,"485",CALHOUN,"19025",USA,MINIMUM,-94.604377,42.392228,0.900000000000000,0.280000000000000,2140.000000000000000,"1","0","0",0.000000000000000,"1","0",5.962412619924212,"0",5.800000190734860,
"135","10001082",ANAMOSA STATE PENITENTIARY,406 N HIGH ST,ANAMOSA,IA,"52205","-999",(319) 462-3504,STATE,OPEN,"927",JONES,"19105",USA,MAXIMUM,-91.291272,42.111291,0.780000000000000,0.540000000000000,4693.000000000000000,"0","0","0",0.000000000000000,"0","0",7.047058778650620,"0",6.799999952316280,
"136","10001091",IOWA MEDICAL & CLASSIFICATION CENTER,2700 CORAL RIDGE AVE,CORALVILLE,IA,"52241","-999",(319) 626-2391,STATE,OPEN,"894",JOHNSON,"19103",USA,MEDIUM,-91.611826,41.713696,0.080000000000000,0.560000000000000,10245.000000000000000,"0","0","0",0.000000000000000,"0","0",7.830000019073486,"0",8.000000000000000,
"139","10001090",NEWTON CORRECTIONAL FACILITY,307 SOUTH 60TH AVENUE WEST,NEWTON,IA,"50208","-999",(641) 792-7552,STATE,OPEN,"1292",JASPER,"19099",USA,MEDIUM,-93.056968,41.627170,0.660000000000000,0.300000000000000,5286.000000000000000,"0","0","0",0.000000000000000,"0","1",7.112032076891730,"0",7.299999952316280,
"192","10004024",FCI CUMBERLAND,14601 BURBRIDGE RD SE,CUMBERLAND,MD,"21502","-999",(301) 784-1000,FEDERAL,OPEN,"1011",ALLEGANY,"24001",USA,MEDIUM,-78.762356,39.595485,0.810000000000000,0.120000000000000,3977.000000000000000,"0","0","0",0.000000000000000,"0","0",6.756818218664690,"0",7.049999952316280,
"199","10001936",BUTTE PRE-RELEASE / WOMEN'S TRANSITIONAL CENTER,62 W BROADWAY ST,BUTTE,MT,"59701","-999",(406) 496-5070,STATE,OPEN,"204",SILVER BOW,"30093",USA,MINIMUM,-112.537641,46.013336,0.870000000000000,0.020000000000000,5114.000000000000000,"0","0","9",5.000000000000000,"0","1",3.974999964237213,"0",3.900000095367430,
"211","10001925",GOODMAN CORRECTIONAL INSTITUTION,4556 BROAD RIVER RD,COLUMBIA,SC,"29210","-999",(803) 896-8565,STATE,OPEN,"436",RICHLAND,"45079",USA,MINIMUM,-81.107856,34.076208,,0.400000000000000,4439.000000000000000,"0","0","4",3.000000000000000,"0","0",7.275000095367432,"0",7.199999809265140,
"228","10001590",NOTTOWAY WORK CENTER,2892 SCHUTT RD,BURKEVILLE,VA,"23922","-999",(434) 767-5543,STATE,OPEN,"195",NOTTOWAY,"51135",USA,MINIMUM,-78.172363,37.185089,0.940000000000000,0.180000000000000,7510.000000000000000,"1","0","2",2.000000000000000,"1","0",6.217322841403992,"0",6.199999809265140,
