OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape__Are,Shape__Len,_FACILITYID,V003,V074,HYBRID_POP,X2019
"40","10004024",FCI CUMBERLAND,14601 BURBRIDGE RD SE,CUMBERLAND,MD,"21502","-999",(301) 784-1000,FEDERAL,OPEN,"787",ALLEGANY,"24001",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/cum/,2016/02/16,IMAGERY/OTHER,2024/01/19,https://www.bop.gov/locations/institutions/cum/,MEDIUM,"-999",0.000017568729845,0.016258292809185,"10004024",FMD161,"1261","1261","7.04999995231628"
"264","10000023",FCI GILMER,201 FCI LANE,GLENVILLE,WV,"26351","-999",(304) 626-2500,FEDERAL,OPEN,"1592",GILMER,"54021",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/gil/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/gil/,MEDIUM,"-999",0.000017689451170,0.016143959123606,"10000023",FWV358,"1396","1396","6.09999990463257"
"1197","10003083",FCI LORETTO,772 SAINT JOSEPH ST,LORETTO,PA,"15940","-999",(814) 472-4140,FEDERAL,OPEN,"737",CAMBRIA,"42021",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/lor/,2016/02/16,IMAGERY/OTHER,2024/01/19,https://www.bop.gov/locations/institutions/lor/,MINIMUM,"-999",0.000007839937098,0.012964480172029,"10003083",FPA255,"986","986","7.5"
"1233","10001578",BUCKINGHAM CORRECTIONAL CENTER,1349 CORRECTIONAL CENTER ROAD,DILLWYN,VA,"23936","-999",(434) 983-4400,STATE,OPEN,"-999",BUCKINGHAM,"51029",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2017/10/19,IMAGERY/OTHER,2024/05/01,https://vadoc.virginia.gov/facilities-and-offices/,CLOSE,"-999",0.000010804467593,0.012872009838305,"10001578",PVA007,"1121","1121","5.80000019073486"
"2603","10000737",SCI SOMERSET,1590 WALTERS MILL RD,SOMERSET,PA,"15510","0001",(814) 443-8100,STATE,OPEN,"-999",SOMERSET,"42111",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.cor.pa.gov/About%20Us/Statistics/Documents/current%20monthly%20population.pdf,2017/11/30,IMAGERY/OTHER,2024/04/09,https://www.cor.pa.gov/Facilities/StatePrisons/Pages/Somerset.aspx,MEDIUM,"2032",0.000025435120278,0.019936407906361,"10000737",PPA077,"2297","2297","7.25"
"2904","10006201",FCI HAZELTON,1640 SKY VIEW DR.,BRUCETON MILLS,WV,"26525","-999",(304) 379-1500,FEDERAL,OPEN,"1623",PRESTON,"54077",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/haf/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/haf/,MEDIUM,"-999",0.000020578044314,0.018217525204399,"10006201",FWV361,"1891","1891","6.95000004768372"
"2907","10003598",FCI GILMER CAMP,201 FCI LANE,GLENVILLE,WV,"26351","-999",(304) 626-2500,FEDERAL,OPEN,"76",GILMER,"54021",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/gil/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/gil/,MINIMUM,"-999",0.000000773254442,0.003895936461033,"10003598",,,"76","6.09999990463257"
"2953","10001875",HUTTONSVILLE CORRECTIONAL CENTER,109 HCC BLVD,HUTTONSVILLE,WV,"26273","-999",(304) 335-2291,STATE,OPEN,"-999",RANDOLPH,"54083",USA,"922140",CORRECTIONAL INSTITUTIONS,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/hccj.aspx,2020/03/03,IMAGERY/OTHER,2024/05/29,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/hccj.aspx,MAXIMUM,"-999",0.000009789269143,0.016043442525227,"10001875",PWV007,"1134","1134","6.64999985694885"
"2956","10006199",FCI HAZELTON  SFF,1640 SKY VIEW DR.,BRUCETON MILLS,WV,"26525","-999",(304) 379-1500,FEDERAL,OPEN,"393",PRESTON,"54077",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/haf/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/haf/,MEDIUM,"-999",0.000012018252391,0.013873670883913,"10006199",,,"393","6.80000019073486"
"2995","10006200",USP HAZELTON CAMP,1640 SKY VIEW DR.,BRUCETON MILLS,WV,"26525","-999",(304) 379-5000,FEDERAL,OPEN,"103",PRESTON,"54077",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/haz/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/haz/,MINIMUM,"-999",0.000001226673930,0.005054557000896,"10006200",,,"103","6.90000009536743"
"2996","10000006",USP HAZELTON,1640 SKY VIEW DR.,BRUCETON MILLS,WV,"26525","-999",(304) 379-5000,FEDERAL,OPEN,"1365",PRESTON,"54077",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/haz/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/haz/,MAXIMUM,"-999",0.000016497917159,0.017544053192436,"10000006",FWV362,"1176","1176","6.85000014305115"
"2997","10006177",FCI MCDOWELL,101 FEDERAL DRIVE,WELCH,WV,"24801","-999",(304) 436-7300,FEDERAL,OPEN,"1501",MCDOWELL,"54047",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/mcd/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/mcd/,MEDIUM,"-999",0.000019378283241,0.018270134202393,"10006177",FWV364,"1283","1283","6.40000009536743"
"3000","10006178",FCI MCDOWELL CAMP,101 FEDERAL DRIVE,WELCH,WV,"24801","-999",(304) 436-7300,FEDERAL,OPEN,"29",MCDOWELL,"54047",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/mcd/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/mcd/,MINIMUM,"-999",0.000000823556547,0.004265892505969,"10006178",,,"29","6.40000009536743"
"3011","10006152",FPC ALDERSON,GLEN RAY RD,ALDERSON,WV,"24910","-999",(304) 445-3300,FEDERAL,OPEN,"713",SUMMERS,"54089",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/ald/,2016/02/16,IMAGERY/OTHER,2024/01/10,https://www.bop.gov/locations/institutions/ald/,MINIMUM,"-999",0.000033275536452,0.024265819865460,"10006152",FWV353,"864","864","6.09999990463257"
"3063","10004023",FCI CUMBERLAND CAMP,14601 BURBRIDGE RD SE,CUMBERLAND,MD,"21502","-999",(301) 784-1000,FEDERAL,OPEN,"258",ALLEGANY,"24001",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/cum/,2016/02/16,IMAGERY/OTHER,2024/01/19,https://www.bop.gov/locations/institutions/cum/,MINIMUM,"-999",0.000001939427193,0.006840187950408,"10004023",,,"258","7.09999990463257"
