TYPE	V001	V003	V004	V005	V006	V007	V008	V010	V011	V014	V015	V016	V017	V018	V019	V020	V021	V022	V023	V024	V025	V026	V027	V028	V029	V030	V031	V032	V032_R	V033	V034	V034_R	V035	V036	V037	V038	V039	V040	V041	V042	V043	V044	V045	V046	V047	V048	V049	V050	V051	V052	V053	V054	V055	V056	V057	V058	V059	V060	V061	V062	V063	V064	V065	V066	V067	V068	V069	V070	V071	V072	V073	V074	V075	V076	V077	V078	V079	V080	V081	V082	V083	V084	V085	V086	V087	V088	V089	V090	V091	V092	V093	V094	V095	V096	V097	V098	V099	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V180	V181	V182	V183	V184	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223	V224	V225	V226	V227	V228	V229	V230	V231	V232	V233	V234	V235	V236	V237	V238	V239	V240	V241	V242	V243	V244	V245	V246	V247	V248	V249	V250	V251	V252	V253	V254	V255	V256	V257	V258	V259	V260	V261	V262	V263	V264	V265	V266	V267	V268	V269	V270	V271
-4	2	 	DCC	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	303	0	-4	-4	0	0	-4	-4	303	0	-4	-4	124	0	179	0	303	0	95	0	114	0	209	0	22	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	 	209	0	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	LOX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	419	0	-1	-4	5	0	-1	-4	424	0	-1	-4	337	0	87	0	424	0	182	0	19	0	201	0	97	0	12	0	79	0	3	0	4	0	4	0	2	0	0	0	 	201	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	OAX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	446	0	-1	-4	8	0	-1	-4	454	0	-1	-4	326	0	128	0	454	0	193	0	37	0	230	0	166	0	51	0	5	0	5	0	0	0	0	0	3	0	0	0	 	230	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	FOX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	526	0	-1	-4	1	0	-1	-4	527	0	-1	-4	359	0	168	0	527	0	195	0	44	0	239	0	160	0	65	0	5	0	1	0	2	0	2	0	4	0	0	0	 	239	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	PEX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	513	0	-1	-4	3	0	-1	-4	516	0	-1	-4	358	0	158	0	516	0	217	0	49	0	266	0	87	0	162	0	11	0	2	0	2	0	0	0	2	0	0	0	 	266	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	TCX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	537	0	-1	-4	13	0	-1	-4	550	0	-1	-4	438	0	112	0	550	0	298	0	33	0	331	0	148	0	18	0	148	0	4	0	2	0	2	0	9	0	0	0	 	331	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	POX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	603	0	-1	-4	13	0	-1	-4	616	0	-1	-4	472	0	144	0	616	0	304	0	54	0	358	0	253	0	83	0	9	0	5	0	0	0	0	0	8	0	0	0	 	358	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	YAX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	707	0	-1	-4	12	0	-1	-4	719	0	-1	-4	433	0	286	0	719	0	254	0	117	0	371	0	61	0	296	0	10	0	2	0	1	0	0	0	1	0	0	0	 	371	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	THX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	676	0	-1	-4	6	0	-1	-4	682	0	-1	-4	561	0	121	0	682	0	360	0	22	0	382	0	361	0	12	0	6	0	2	0	1	0	0	0	0	0	0	0	 	382	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
-4	2	 	ALX	 	 	 	 	 	 	CX	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	 	-4	-4	 	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-9	-9	-9	-4	-4	788	0	-1	-4	6	0	-1	-4	794	0	-1	-4	622	0	172	0	794	0	365	0	39	0	404	0	372	0	8	0	15	0	2	0	3	0	0	0	4	0	0	0	 	404	0	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	-4
