FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTRY
"10002798",MIDLAND COUNTY CENTRAL DETENTION CENTER,400 S MAIN ST,MIDLAND,TX,"79701","-999",COUNTY,OPEN,"438",MIDLAND,USA
"10002796",BARBARA CULVER JUVENILE DETENTION CENTER,3800 N LAMESA RD,MIDLAND,TX,"79701","-999",COUNTY,OPEN,"-999",MIDLAND,USA
"10002836",SAN JACINTO COUNTY JAIL,75 W CEDAR AVE,COLDSPRING,TX,"77331","-999",COUNTY,OPEN,"96",SAN JACINTO,USA
"10003033",YELLOW MEDICINE COUNTY JAIL,415 9TH AVENUE,GRANITE FALLS,MN,"56241","-999",COUNTY,OPEN,"27",YELLOW MEDICINE,USA
"10006288",NMJC THIEF RIVER FALLS SATELLITE HOME,118 N. SPRUCE AVENUE,THIEF RIVER FALLS,MN,"56701","-999",LOCAL,OPEN,"2",PENNINGTON,USA
"10005438",PREBLE COUNTY JAIL,1139 PREBLE DRIVE,EATON,OH,"45320","-999",COUNTY,OPEN,"79",PREBLE,USA
"10004413",SCHLEICHER COUNTY JAIL,4 SOUTH DIVIDE STREET,ELDORADO,TX,"76936","-999",COUNTY,OPEN,"5",SCHLEICHER,USA
"10003100",WASHINGTON COUNTY CORRECTIONAL FACILITY,100 W CHERRY AVE,WASHINGTON,PA,"15301","6820",COUNTY,OPEN,"402",WASHINGTON,USA
"10006806",ANDREW COUNTY JAIL,400 EAST MAIN STREET,SAVANNAH,MO,"64485","-999",COUNTY,OPEN,"-999",ANDREW,USA
"10005221",WAYNE COUNTY CORRECTIONAL FACILITY,44 MID-WAYNE DR,HONESDALE,PA,"18431","-999",COUNTY,OPEN,"94",WAYNE,USA
"10005850",AUDRAIN COUNTY JAIL,1100 LITTLEBY ROAD,MEXICO,MO,"65265","-999",COUNTY,OPEN,"-999",AUDRAIN,USA
"10005872",BATES COUNTY JAIL,6 WEST FORT SCOTT STREET,BUTLER,MO,"64730","-999",COUNTY,OPEN,"26",BATES,USA
"10005564",ATTALA COUNTY JAIL,112 WEST ADAMS STREET,KOSCIUSKO,MS,"39090","-999",COUNTY,OPEN,"-999",ATTALA,USA
"10004389",SHACKELFORD COUNTY JAIL,791 US HWY 180 WEST,ALBANY,TX,"76430","-999",COUNTY,OPEN,"11",SHACKELFORD,USA
"10001287",BEXAR COUNTY JUVENILE DETENTION CENTER,600 MISSION RD,SAN ANTONIO,TX,"78210","-999",COUNTY,OPEN,"-999",BEXAR,USA
"10005772",PARMENTER COMMUNITY JUSTICE CENTER,706 5TH STREET,BAY CITY,MI,"48708","-999",LOCAL,NOT AVAILABLE,"12",BAY,USA
"10006287",WOODLAND HILLS TREATMENT CENTER,4321 ALLANDALE AVE,DULUTH,MN,"55803","-999",LOCAL,OPEN,"-999",ST. LOUIS,USA
"10001675",SCIOTO COUNTY JAIL,1025 16TH ST,PORTSMOUTH,OH,"45662","-999",COUNTY,OPEN,"-999",SCIOTO,USA
"10006914",VOLUNTEERS OF AMERICA - MINNEAPOLIS RESIDENTIAL RE-ENTRY CENTER,2825 EAST LAKE STREET,MINNEAPOLIS,MN,"55406","-999",LOCAL,OPEN,"-999",HENNEPIN,USA
"10005396",BENTON COUNTY JAIL / SHERIFF,174 W. WASHINGTON STREET,WARSAW,MO,"65355","-999",COUNTY,OPEN,"-999",BENTON,USA
"10005885",BOLLINGER COUNTY JAIL,202 HIGH STREET,MARBLE HILL,MO,"63764","-999",COUNTY,OPEN,"18",BOLLINGER,USA
"10002698",SHERIFF AL CANNON DETENTION CENTER,3841 LEEDS AVE,NORTH CHARLESTON,SC,"29405","-999",COUNTY,OPEN,"1113",CHARLESTON,USA
"10002832",MILAM COUNTY JAIL,512 N JEFFERSON,CAMERON,TX,"76520","-999",COUNTY,OPEN,"137",MILAM,USA
"10002833",ROCKDALE REGIONAL JUVENILE JUSTICE CENTER,696 N FM 487,ROCKDALE,TX,"76567","-999",COUNTY,OPEN,"-999",MILAM,USA
"10004420",SUTTON COUNTY JAIL,401 EAST OAK STREET,SONORA,TX,"76950","-999",COUNTY,OPEN,"14",SUTTON,USA
"10006014",NOBLE COUNTY JAIL / COURTHOUSE,"300 COURTHOUSE DR, STE 5",PERRY,OK,"73077","-999",MULTI,OPEN,"-999",NOBLE,USA
"10001789",CARTERET COUNTY DETENTION FACILITY,306 CRAVEN ST,BEAUFORT,NC,"28516","-999",COUNTY,OPEN,"128",CARTERET,USA
"10004391",NOLAN COUNTY JAIL,211 AVENGER FIELD RD,SWEETWATER,TX,"79556","-999",COUNTY,OPEN,"66",NOLAN,USA
"10002932",NUECES COUNTY MCKINZIE JAIL ANNEX,745 N PADRE ISLAND DR,CORPUS CHRISTI,TX,"78406","-999",COUNTY,OPEN,"400",NUECES,USA
"10005223",MINSEC OF SCRANTON,539 LINDEN ST,SCRANTON,PA,"18503","-999",LOCAL,OPEN,"-999",LACKAWANNA,USA
